Year,Units,Country,Region,Age group,Sex,GeoCode,Value
2010,Percentage of total population,England,North East,,,E12000001,4.12187766573374
2010,Percentage of total population,England,North West,,,E12000002,11.1854395296224
2010,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.37290240374295
2010,Percentage of total population,England,East Midlands,,,E12000004,7.18150106336167
2010,Percentage of total population,England,West Midlands,,,E12000005,8.86856954273153
2010,Percentage of total population,England,East of England,,,E12000006,9.25342947523318
2010,Percentage of total population,England,London,,,E12000007,12.8450683192665
2010,Percentage of total population,England,South East,,,E12000008,13.6676949526139
2010,Percentage of total population,England,South West,,,E12000009,8.38323072781255
2010,Percentage of total population,Wales,,,,W92000004,4.85977921797155
2010,Percentage of total population,Scotland,,,,S92000003,8.38471257622118
2010,Percentage of total population,Northern Ireland,,,,N92000002,2.87579452568868
2011,Percentage of total population,,,,,,100.0
2011,Percentage of total population,,,16 to 17,,,2.47024795471354
2011,Percentage of total population,,,16 to 17,Male,,1.26817280737841
2011,Percentage of total population,,,16 to 17,Female,,1.20207514733512
2011,Percentage of total population,,,18 to 24,,,9.39000613809133
2011,Percentage of total population,,,18 to 24,Male,,4.74659574533644
2011,Percentage of total population,,,18 to 24,Female,,4.64341039275488
2011,Percentage of total population,,,25 to 34,,,13.3729661202482
2011,Percentage of total population,,,25 to 34,Male,,6.67276657104917
2011,Percentage of total population,,,25 to 34,Female,,6.7001995491991
2011,Percentage of total population,,,35 to 49,,,21.2301417654964
2011,Percentage of total population,,,35 to 49,Male,,10.5086873072661
2011,Percentage of total population,,,35 to 49,Female,,10.7214544582302
2011,Percentage of total population,,,50 to 64,,,18.2344103027653
2011,Percentage of total population,,,50 to 64,Male,,8.9976755208509
2011,Percentage of total population,,,50 to 64,Female,,9.23673478191446
2011,Percentage of total population,,,65 and over,,,16.5254989934841
2011,Percentage of total population,,,65 and over,Male,,7.32794560240005
2011,Percentage of total population,,,65 and over,Female,,9.19755339108411
2011,Percentage of total population,Great Britain,,,,K03000001,97.1331060393398
2011,Percentage of total population,England,,,,E92000001,83.9172747411734
2011,Percentage of total population,England,North East,,,E12000001,4.10276534880342
2011,Percentage of total population,England,North West,,,E12000002,11.1494743355648
2011,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.35616636416018
2011,Percentage of total population,England,East Midlands,,,E12000004,7.16984688902901
2011,Percentage of total population,England,West Midlands,,,E12000005,8.86253322165889
2011,Percentage of total population,England,East of England,,,E12000006,9.26349777661092
2011,Percentage of total population,England,London,,,E12000007,12.9641908855545
2011,Percentage of total population,England,South East,,,E12000008,13.6726936471426
2011,Percentage of total population,England,South West,,,E12000009,8.37610627264897
2011,Percentage of total population,Wales,,,,W92000004,4.84119614484568
2011,Percentage of total population,Scotland,,,,S92000003,8.37463515332073
2011,Percentage of total population,Northern Ireland,,,,N92000002,2.86689396066012
2012,Percentage of total population,,,,,,100.0
2012,Percentage of total population,,,16 to 17,,,2.41807750502589
2012,Percentage of total population,,,16 to 17,Male,,1.2445029850861
2012,Percentage of total population,,,16 to 17,Female,,1.17357451993979
2012,Percentage of total population,,,18 to 24,,,9.33736472614485
2012,Percentage of total population,,,18 to 24,Male,,4.73668876696235
2012,Percentage of total population,,,18 to 24,Female,,4.6006759591825
2012,Percentage of total population,,,25 to 34,,,13.4338057764041
2012,Percentage of total population,,,25 to 34,Male,,6.68931950899324
2012,Percentage of total population,,,25 to 34,Female,,6.74448626741091
2012,Percentage of total population,,,35 to 49,,,20.8606588836077
2012,Percentage of total population,,,35 to 49,Male,,10.3212038358666
2012,Percentage of total population,,,35 to 49,Female,,10.5394550477411
2012,Percentage of total population,,,50 to 64,,,18.1216961988715
2012,Percentage of total population,,,50 to 64,Male,,8.93793472823103
2012,Percentage of total population,,,50 to 64,Female,,9.18376147064054
2012,Percentage of total population,,,65 and over,,,17.0174097712535
2012,Percentage of total population,,,65 and over,Male,,7.59631068378745
2012,Percentage of total population,,,65 and over,Female,,9.42109908746609
2012,Percentage of total population,Great Britain,,,,K03000001,97.1373783200478
2012,Percentage of total population,England,,,,E92000001,83.9709658719256
2012,Percentage of total population,England,North East,,,E12000001,4.0849364642007
2012,Percentage of total population,England,North West,,,E12000002,11.1205300429181
2012,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.34579467272835
2012,Percentage of total population,England,East Midlands,,,E12000004,7.17012612661825
2012,Percentage of total population,England,West Midlands,,,E12000005,8.85733669696097
2012,Percentage of total population,England,East of England,,,E12000006,9.27296949707111
2012,Percentage of total population,England,London,,,E12000007,13.0419356210961
2012,Percentage of total population,England,South East,,,E12000008,13.6955229437926
2012,Percentage of total population,England,South West,,,E12000009,8.38181380653929
2012,Percentage of total population,Wales,,,,W92000004,4.8254698255381
2012,Percentage of total population,Scotland,,,,S92000003,8.34094262258412
2012,Percentage of total population,Northern Ireland,,,,N92000002,2.86262167995211
2013,Percentage of total population,,,,,,100.0
2013,Percentage of total population,,,16 to 17,,,2.41010098734816
2013,Percentage of total population,,,16 to 17,Male,,1.23955369053718
2013,Percentage of total population,,,16 to 17,Female,,1.17054729681098
2013,Percentage of total population,,,18 to 24,,,9.20513657032498
2013,Percentage of total population,,,18 to 24,Male,,4.68126571175765
2013,Percentage of total population,,,18 to 24,Female,,4.52387085856732
2013,Percentage of total population,,,25 to 34,,,13.5365797843666
2013,Percentage of total population,,,25 to 34,Male,,6.73993123913843
2013,Percentage of total population,,,25 to 34,Female,,6.79664854522816
2013,Percentage of total population,,,35 to 49,,,20.5126508809971
2013,Percentage of total population,,,35 to 49,Male,,10.150876863373
2013,Percentage of total population,,,35 to 49,Female,,10.361774017624
2013,Percentage of total population,,,50 to 64,,,18.1602047145482
2013,Percentage of total population,,,50 to 64,Male,,8.95211832641158
2013,Percentage of total population,,,50 to 64,Female,,9.20808638813668
2013,Percentage of total population,,,65 and over,,,17.3648349332806
2013,Percentage of total population,,,65 and over,Male,,7.79332662295279
2013,Percentage of total population,,,65 and over,Female,,9.57150831032782
2013,Percentage of total population,Great Britain,,,,K03000001,97.1457665809009
2013,Percentage of total population,England,,,,E92000001,84.0266242350479
2013,Percentage of total population,England,North East,,,E12000001,4.07215407240054
2013,Percentage of total population,England,North West,,,E12000002,11.0805530507496
2013,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.32642780619631
2013,Percentage of total population,England,East Midlands,,,E12000004,7.17320659422646
2013,Percentage of total population,England,West Midlands,,,E12000005,8.85212402637683
2013,Percentage of total population,England,East of England,,,E12000006,9.28828524235943
2013,Percentage of total population,England,London,,,E12000007,13.1291742222924
2013,Percentage of total population,England,South East,,,E12000008,13.7160538132876
2013,Percentage of total population,England,South West,,,E12000009,8.38864540715862
2013,Percentage of total population,Wales,,,,W92000004,4.80833094690836
2013,Percentage of total population,Scotland,,,,S92000003,8.31081139894462
2013,Percentage of total population,Northern Ireland,,,,N92000002,2.85423341909903
2014,Percentage of total population,,,,,,100.0
2014,Percentage of total population,,,16 to 17,,,2.37465190200275
2014,Percentage of total population,,,16 to 17,Male,,1.21773150451898
2014,Percentage of total population,,,16 to 17,Female,,1.15692039748376
2014,Percentage of total population,,,18 to 24,,,9.10898430311171
2014,Percentage of total population,,,18 to 24,Male,,4.64790242085236
2014,Percentage of total population,,,18 to 24,Female,,4.46108188225934
2014,Percentage of total population,,,25 to 34,,,13.5437196594652
2014,Percentage of total population,,,25 to 34,Male,,6.75027283105503
2014,Percentage of total population,,,25 to 34,Female,,6.79344682841019
2014,Percentage of total population,,,35 to 49,,,20.2135054716063
2014,Percentage of total population,,,35 to 49,Male,,10.0046965209643
2014,Percentage of total population,,,35 to 49,Female,,10.2088089506419
2014,Percentage of total population,,,50 to 64,,,18.2866516260755
2014,Percentage of total population,,,50 to 64,Male,,9.00800554182662
2014,Percentage of total population,,,50 to 64,Female,,9.27864608424894
2014,Percentage of total population,,,65 and over,,,17.65850549266
2014,Percentage of total population,,,65 and over,Male,,7.95679169751445
2014,Percentage of total population,,,65 and over,Female,,9.70171379514561
2014,Percentage of total population,Great Britain,,,,K03000001,97.1507886340787
2014,Percentage of total population,England,,,,E92000001,84.0856797258165
2014,Percentage of total population,England,North East,,,E12000001,4.05393447645788
2014,Percentage of total population,England,North West,,,E12000002,11.0423369274046
2014,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.29767261363233
2014,Percentage of total population,England,East Midlands,,,E12000004,7.17901884602495
2014,Percentage of total population,England,West Midlands,,,E12000005,8.84453757055772
2014,Percentage of total population,England,East of England,,,E12000006,9.31685079150728
2014,Percentage of total population,England,London,,,E12000007,13.2184494353524
2014,Percentage of total population,England,South East,,,E12000008,13.7372510617871
2014,Percentage of total population,England,South West,,,E12000009,8.39562800309216
2014,Percentage of total population,Wales,,,,W92000004,4.7866741039859
2014,Percentage of total population,Scotland,,,,S92000003,8.27843480427622
2014,Percentage of total population,Northern Ireland,,,,N92000002,2.8492113659213
2015,Percentage of total population,,,,,,100.0
2015,Percentage of total population,,,16 to 17,,,2.32377086456443
2015,Percentage of total population,,,16 to 17,Male,,1.19221255513397
2015,Percentage of total population,,,16 to 17,Female,,1.13155830943046
2015,Percentage of total population,,,18 to 24,,,9.02851932161485
2015,Percentage of total population,,,18 to 24,Male,,4.61139061914788
2015,Percentage of total population,,,18 to 24,Female,,4.41712870246696
2015,Percentage of total population,,,25 to 34,,,13.5505335475634
2015,Percentage of total population,,,25 to 34,Male,,6.77052787286211
2015,Percentage of total population,,,25 to 34,Female,,6.78000567470138
2015,Percentage of total population,,,35 to 49,,,19.9800955410344
2015,Percentage of total population,,,35 to 49,Male,,9.89170885704037
2015,Percentage of total population,,,35 to 49,Female,,10.088386683994
2015,Percentage of total population,,,50 to 64,,,18.4575514121218
2015,Percentage of total population,,,50 to 64,Male,,9.08797252355911
2015,Percentage of total population,,,50 to 64,Female,,9.3695788885627
2015,Percentage of total population,,,65 and over,,,17.8331453489949
2015,Percentage of total population,,,65 and over,Male,,8.06677201243666
2015,Percentage of total population,,,65 and over,Female,,9.76637333655823
2015,Percentage of total population,Great Britain,,,,K03000001,97.1561664366509
2015,Percentage of total population,England,,,,E92000001,84.1442150068605
2015,Percentage of total population,England,North East,,,E12000001,4.03105456833274
2015,Percentage of total population,England,North West,,,E12000002,11.0180175915742
2015,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.2791785978794
2015,Percentage of total population,England,East Midlands,,,E12000004,7.18328299444598
2015,Percentage of total population,England,West Midlands,,,E12000005,8.83273997368823
2015,Percentage of total population,England,East of England,,,E12000006,9.33258766229487
2015,Percentage of total population,England,London,,,E12000007,13.3216225935314
2015,Percentage of total population,England,South East,,,E12000008,13.7427558400599
2015,Percentage of total population,England,South West,,,E12000009,8.40297518505366
2015,Percentage of total population,Wales,,,,W92000004,4.7597671351239
2015,Percentage of total population,Scotland,,,,S92000003,8.25218429466647
2015,Percentage of total population,Northern Ireland,,,,N92000002,2.84383356334908
2016,Percentage of total population,,,,,,100.0
2016,Percentage of total population,,,16 to 17,,,2.27030949005739
2016,Percentage of total population,,,16 to 17,Male,,1.16669109491044
2016,Percentage of total population,,,16 to 17,Female,,1.10361839514694
2016,Percentage of total population,,,18 to 24,,,8.8791649482862
2016,Percentage of total population,,,18 to 24,Male,,4.54715230401193
2016,Percentage of total population,,,18 to 24,Female,,4.33201264427426
2016,Percentage of total population,,,25 to 34,,,13.5857964654976
2016,Percentage of total population,,,25 to 34,Male,,6.8152926513252
2016,Percentage of total population,,,25 to 34,Female,,6.77050381417246
2016,Percentage of total population,,,35 to 49,,,19.7610564358846
2016,Percentage of total population,,,35 to 49,Male,,9.78853691535167
2016,Percentage of total population,,,35 to 49,Female,,9.97251952053293
2016,Percentage of total population,,,50 to 64,,,18.6340618718111
2016,Percentage of total population,,,50 to 64,Male,,9.17044395558168
2016,Percentage of total population,,,50 to 64,Female,,9.46361791622947
2016,Percentage of total population,,,65 and over,,,17.9960932276834
2016,Percentage of total population,,,65 and over,Male,,8.16474316207453
2016,Percentage of total population,,,65 and over,Female,,9.83135006560895
2016,Percentage of total population,Great Britain,,,,K03000001,97.1634543805365
2016,Percentage of total population,England,,,,E92000001,84.1884315413218
2016,Percentage of total population,England,North East,,,E12000001,4.01664305235917
2016,Percentage of total population,England,North West,,,E12000002,10.9974668860709
2016,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.26489236070881
2016,Percentage of total population,England,East Midlands,,,E12000004,7.19661393161783
2016,Percentage of total population,England,West Midlands,,,E12000005,8.83610959739949
2016,Percentage of total population,England,East of England,,,E12000006,9.33849768037297
2016,Percentage of total population,England,London,,,E12000007,13.3863709044597
2016,Percentage of total population,England,South East,,,E12000008,13.7495271375446
2016,Percentage of total population,England,South West,,,E12000009,8.40230999078814
2016,Percentage of total population,Wales,,,,W92000004,4.74218169513448
2016,Percentage of total population,Scotland,,,,S92000003,8.23284114408021
2016,Percentage of total population,Northern Ireland,,,,N92000002,2.83654561946344
