Year,Units,Employment status,Industry,Sex,Age group,Value
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Electricity, gas, steam and air conditioning supply",Male,55 to 59,41.15
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",,,65.04
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",,20 to 24,94.93
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",,25 to 34,121.18
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",,35 to 44,88.82
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",,45 to 54,240.28
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",,55 to 59,138.65
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",Male,,168.76
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",Male,20 to 24,151.82
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",Male,25 to 34,169.74
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",Male,35 to 44,198.4
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",Male,45 to 54,213.04
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",Male,55 to 59,232.29
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,200.73
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,20 to 24,282.86
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,25 to 34,137.28
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,35 to 44,155.84
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,45 to 54,157.59
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,55 to 59,216.85
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,60 to 64,229.78
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,65+,210.81
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,,222.12
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,20 to 24,165.99
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,25 to 34,219.54
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,35 to 44,135.33
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,45 to 54,164.06
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,55 to 59,139.51
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,60 to 64,138.21
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,65+,174.54
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,,210.23
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,25 to 34,230.23
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,35 to 44,219.11
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,45 to 54,138.22
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,55 to 59,151.84
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,65+,139.72
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,,90.42
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,25 to 34,98.43
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,35 to 44,104.21
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,45 to 54,123.48
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,55 to 59,123.95
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Female,,87.04
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Female,65+,165.41
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,,194.01
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,20 to 24,153.42
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,25 to 34,107.12
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,45 to 54,115.87
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,55 to 59,126.68
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,60 to 64,139.18
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,65+,129.44
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,,108.33
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,20 to 24,117.38
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,25 to 34,123.56
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,45 to 54,130.11
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,55 to 59,76.86
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,60 to 64,84.66
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,65+,89.97
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,,109.06
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,35 to 44,118.08
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,45 to 54,65.09
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,65+,263.85
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,,471.1
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,35 to 44,249.13
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,45 to 54,468.15
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,65+,398.41
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,,277.07
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,20 to 24,150.35
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,35 to 44,195.1
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,45 to 54,188.04
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,65+,196.43
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,,236.19
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,20 to 24,275.25
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,35 to 44,292.16
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,45 to 54,211.15
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,65+,357.15
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Female,,193.02
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Female,35 to 44,248.07
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,252.7
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,25 to 34,264.47
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,35 to 44,309.44
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,45 to 54,345.14
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,55 to 59,361.99
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,60 to 64,241.11
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,65+,198.96
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,,110.07
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,25 to 34,141.71
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,35 to 44,118.69
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,45 to 54,125.22
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,55 to 59,169.51
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,60 to 64,207.58
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,65+,218.2
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,188.6
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,25 to 34,534.06
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,35 to 44,492.17
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,45 to 54,627.65
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,55 to 59,482.45
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,60 to 64,422.78
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,65+,507.44
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,,438.83
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,25 to 34,454.94
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,35 to 44,201.92
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,45 to 54,645.18
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,55 to 59,664.29
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,60 to 64,533.61
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,65+,557.46
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,616.85
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,25 to 34,597.43
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,65+,264.98
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,Male,,293.19
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,Male,25 to 34,335.88
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,Male,65+,226.85
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,224.88
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,25 to 34,147.5
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,35 to 44,131.48
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,55 to 59,241.11
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,60 to 64,365.42
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,65+,259.58
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,,174.92
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,25 to 34,149.52
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,35 to 44,268.52
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,55 to 59,397.16
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,60 to 64,80.48
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,65+,470.81
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Transportation and storage,,,436.33
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Transportation and storage,,55 to 59,450.8
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Transportation and storage,Male,,407.36
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Transportation and storage,Male,55 to 59,343.97
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,,346.34
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,25 to 34,454.47
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,35 to 44,492.29
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,55 to 59,318.62
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,60 to 64,534.6
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,,492.54
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,25 to 34,534.74
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,35 to 44,473.49
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,55 to 59,402.96
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,60 to 64,384.24
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,,0.43
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,16 to 19,0.19
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,20 to 24,0.32
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,25 to 34,0.23
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,35 to 44,0.36
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,45 to 54,0.3
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,55 to 59,0.73
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,60 to 64,0.61
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,65+,1.92
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Male,,0.79
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Male,16 to 19,0.4
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Male,20 to 24,0.62
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Male,25 to 34,0.43
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Male,35 to 44,0.65
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Male,45 to 54,0.56
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Male,55 to 59,1.35
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Male,60 to 64,1.08
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Male,65+,3.03
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Female,,0.03
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Female,35 to 44,0.03
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Female,45 to 54,0.03
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Female,55 to 59,0.07
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,Female,65+,0.21
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,7.61
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,16 to 19,7.6
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,25 to 34,1.74
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,35 to 44,3.87
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,45 to 54,4.77
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,55 to 59,9.88
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,60 to 64,6.56
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,65+,23.92
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,,10.23
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,25 to 34,2.18
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,35 to 44,5.2
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,45 to 54,5.25
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,55 to 59,15.77
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,60 to 64,8.8
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,65+,35.71
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Female,,0.99
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Female,45 to 54,3.75
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Mining and quarrying,,,3.28
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Mining and quarrying,,35 to 44,3.06
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Mining and quarrying,,55 to 59,15.28
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Mining and quarrying,Male,,3.91
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Mining and quarrying,Male,35 to 44,3.73
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Mining and quarrying,Male,55 to 59,18.74
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,,0.66
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,16 to 19,2.01
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,20 to 24,0.49
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,25 to 34,0.15
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,35 to 44,0.8
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,45 to 54,0.66
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,55 to 59,1.26
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,60 to 64,0.57
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,65+,1.08
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,Male,,0.83
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,Male,16 to 19,2.57
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,Male,20 to 24,0.64
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,Male,25 to 34,0.21
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,Male,35 to 44,1.08
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,Male,45 to 54,0.88
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,Male,55 to 59,1.25
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,Male,60 to 64,0.72
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,Male,65+,1.36
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,Female,,0.14
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,Female,55 to 59,1.3
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Electricity, gas, steam and air conditioning supply",,,1.63
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Electricity, gas, steam and air conditioning supply",,20 to 24,6.13
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Electricity, gas, steam and air conditioning supply",,55 to 59,5.71
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Electricity, gas, steam and air conditioning supply",Male,,2.27
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Electricity, gas, steam and air conditioning supply",Male,20 to 24,8.63
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Electricity, gas, steam and air conditioning supply",Male,55 to 59,6.8
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",,,6.64
