Year,Flow of Overseas Development Assistance,Aid sector (Development Assistance Committee code),Aid category (Development Assistance Committee code),Aid subcategory (Development Assistance Committee code),Aid description (creditor reporting system code),Recipient region,Recipient country,Type of aid finance,Value
2011,Multilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Statistical capacity building (16062),,,,3914.5
2011,Multilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Narcotics control (16063),,,,371.56
2011,Multilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Social mitigation of HIV/AIDS (16064),,,,4956.85
2011,Multilateral,Economic infrastructure and services (200),,,,,,,675651.23
2011,Multilateral,Economic infrastructure and services (200),Transport and storage (210),,,,,,292763.09
2011,Multilateral,Economic infrastructure and services (200),Transport and storage (210),,Transport policy and administrative management (21010),,,,23666.19
2011,Multilateral,Economic infrastructure and services (200),Transport and storage (210),,Road transport (21020),,,,219087.34
2011,Multilateral,Economic infrastructure and services (200),Transport and storage (210),,Rail transport (21030),,,,37207.47
2011,Multilateral,Economic infrastructure and services (200),Transport and storage (210),,Water transport (21040),,,,5769.11
2011,Multilateral,Economic infrastructure and services (200),Transport and storage (210),,Air transport (21050),,,,6954.19
2011,Multilateral,Economic infrastructure and services (200),Transport and storage (210),,Storage (21061),,,,78.77
2011,Multilateral,Economic infrastructure and services (200),Transport and storage (210),,Education and training in transport and storage (21081),,,,0
2011,Multilateral,Economic infrastructure and services (200),Communications (220),,,,,,28041.52
2011,Multilateral,Economic infrastructure and services (200),Communications (220),,Communications policy and administrative management (22010),,,,1982.53
2011,Multilateral,Economic infrastructure and services (200),Communications (220),,Telecommunications (22020),,,,18594.46
2011,Multilateral,Economic infrastructure and services (200),Communications (220),,Radio/television/print media (22030),,,,363.07
2011,Multilateral,Economic infrastructure and services (200),Communications (220),,Information and communication technology (ICT) (22040),,,,7101.46
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)",,,,,,204288.4
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, distribution and efficiency general (231)",,,,,28977.33
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, distribution and efficiency general (231)",Energy policy and administrative management (23110),,,,28182.29
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, distribution and efficiency general (231)",Energy education/training (23181),,,,729.27
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, distribution and efficiency general (231)",Energy research (23182),,,,65.78
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, distribution and efficiency general (231)",Energy conservation and demand-side efficiency (23183),,,,0
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, renewable sources (232)",,,,,73075.92
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources ? multiple technologies (23210)",,,,43181.3
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),,,,19894.21
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),,,,5404.38
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),,,,1227.26
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),,,,0
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),,,,1891.48
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),,,,1477.29
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, non-renewable sources (233)",,,,,31738.5
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources unspecified (23310)",,,,10028.78
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),,,,690.41
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),,,,71.74
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),,,,20947.58
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),,,,0
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),,,,0
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)",Hybrid energy electric power plants (234),,,,,0
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),,,,0
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)",Nuclear energy electric power plants (235),,,,,2483.24
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),,,,2483.24
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Heating, cooling and energy distribution (236)",,,,,68013.41
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),,,,0
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),,,,0
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),,,,66440.47
2011,Multilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),,,,1572.93
2011,Multilateral,Economic infrastructure and services (200),Banking and financial services (240),,,,,,122969.49
2011,Multilateral,Economic infrastructure and services (200),Banking and financial services (240),,Financial policy and administrative management (24010),,,,11883.36
2011,Multilateral,Economic infrastructure and services (200),Banking and financial services (240),,Monetary institutions (24020),,,,480.66
2011,Multilateral,Economic infrastructure and services (200),Banking and financial services (240),,Formal sector financial intermediaries (24030),,,,94755.73
2011,Multilateral,Economic infrastructure and services (200),Banking and financial services (240),,Informal/semi-formal financial intermediaries (24040),,,,15716.67
2011,Multilateral,Economic infrastructure and services (200),Banking and financial services (240),,Education/training in banking and financial services (24081),,,,133.07
2011,Multilateral,Economic infrastructure and services (200),Business and other services (250),,,,,,27588.73
2011,Multilateral,Economic infrastructure and services (200),Business and other services (250),,Business support services and institutions (25010),,,,25437.66
2011,Multilateral,Economic infrastructure and services (200),Business and other services (250),,Privatisation (25020),,,,2151.08
2011,Multilateral,Production sectors (300),,,,,,,313728.09
2011,Multilateral,Production sectors (300),,Agriculture (311),,,,,149578.17
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural policy and administrative management (31110),,,,40716.3
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural development (31120),,,,26724.45
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural land resources (31130),,,,10974.7
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural water resources (31140),,,,19086.03
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural inputs (31150),,,,3277.86
2011,Multilateral,Production sectors (300),,Agriculture (311),Food crop production (31161),,,,8653.92
2011,Multilateral,Production sectors (300),,Agriculture (311),Industrial crops/export crops (31162),,,,4798.8
2011,Multilateral,Production sectors (300),,Agriculture (311),Livestock (31163),,,,2733.09
2011,Multilateral,Production sectors (300),,Agriculture (311),Agrarian reform (31164),,,,36.97
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural alternative development (31165),,,,675.95
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural extension (31166),,,,3970.84
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural education/training (31181),,,,1020.63
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural research (31182),,,,11803.72
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural services (31191),,,,5265.6
2011,Multilateral,Production sectors (300),,Agriculture (311),Plant and post-harvest protection and pest control (31192),,,,237.45
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural financial services (31193),,,,3361.59
2011,Multilateral,Production sectors (300),,Agriculture (311),Agricultural co-operatives (31194),,,,2622.83
2011,Multilateral,Production sectors (300),,Agriculture (311),Livestock/veterinary services (31195),,,,3617.44
2011,Multilateral,Production sectors (300),,Forestry (312),,,,,30066.6
2011,Multilateral,Production sectors (300),,Forestry (312),Forestry policy and administrative management (31210),,,,8574.54
2011,Multilateral,Production sectors (300),,Forestry (312),Forestry development (31220),,,,20934.39
2011,Multilateral,Production sectors (300),,Forestry (312),Fuelwood/charcoal (31261),,,,182.11
2011,Multilateral,Production sectors (300),,Forestry (312),Forestry education/training (31281),,,,137.39
2011,Multilateral,Production sectors (300),,Forestry (312),Forestry research (31282),,,,191.6
2011,Multilateral,Production sectors (300),,Forestry (312),Forestry services (31291),,,,46.57
2011,Multilateral,Production sectors (300),,Fishing (313),,,,,4880.39
2011,Multilateral,Production sectors (300),,Fishing (313),Fishing policy and administrative management (31310),,,,3426.56
2011,Multilateral,Production sectors (300),,Fishing (313),Fishery development (31320),,,,1045.46
2011,Multilateral,Production sectors (300),,Fishing (313),Fishery education/training (31381),,,,0
2011,Multilateral,Production sectors (300),,Fishing (313),Fishery research (31382),,,,250.08
2011,Multilateral,Production sectors (300),,Fishing (313),Fishery services (31391),,,,158.29
2011,Multilateral,Production sectors (300),,Industry (321),,,,,83771.76
2011,Multilateral,Production sectors (300),,Industry (321),Industrial policy and administrative management (32110),,,,3198.64
2011,Multilateral,Production sectors (300),,Industry (321),Industrial development (32120),,,,7118.25
2011,Multilateral,Production sectors (300),,Industry (321),Small and medium-sized enterprises (SME) development (32130),,,,24725.2
2011,Multilateral,Production sectors (300),,Industry (321),Cottage industries and handicraft (32140),,,,195.68
2011,Multilateral,Production sectors (300),,Industry (321),Agro-industries (32161),,,,7188.81
2011,Multilateral,Production sectors (300),,Industry (321),Forest industries (32162),,,,6892.41
2011,Multilateral,Production sectors (300),,Industry (321),"Textiles, leather and substitutes (32163)",,,,48.24
2011,Multilateral,Production sectors (300),,Industry (321),Chemicals (32164),,,,1949.95
2011,Multilateral,Production sectors (300),,Industry (321),Fertilizer plants (32165),,,,1782.43
2011,Multilateral,Production sectors (300),,Industry (321),Cement/lime/plaster (32166),,,,0
2011,Multilateral,Production sectors (300),,Industry (321),Energy manufacturing (32167),,,,2.9
2011,Multilateral,Production sectors (300),,Industry (321),Pharmaceutical production (32168),,,,5.43
2011,Multilateral,Production sectors (300),,Industry (321),Basic metal industries (32169),,,,0
2011,Multilateral,Production sectors (300),,Industry (321),Non-ferrous metal industries (32170),,,,49.44
2011,Multilateral,Production sectors (300),,Industry (321),Engineering (32171),,,,654.36
2011,Multilateral,Production sectors (300),,Industry (321),Transport equipment industry (32172),,,,28760.91
2011,Multilateral,Production sectors (300),,Industry (321),Technological research and development (32182),,,,1199.12
2011,Multilateral,Production sectors (300),,Mineral resources and mining (322),,,,,17913.01
2011,Multilateral,Production sectors (300),,Mineral resources and mining (322),Mineral/mining policy and administrative management (32210),,,,10812.05
2011,Multilateral,Production sectors (300),,Mineral resources and mining (322),Mineral prospection and exploration (32220),,,,1331.21
2011,Multilateral,Production sectors (300),,Mineral resources and mining (322),Coal (32261),,,,1485.05
2011,Multilateral,Production sectors (300),,Mineral resources and mining (322),Oil and gas (32262),,,,743.14
2011,Multilateral,Production sectors (300),,Mineral resources and mining (322),Ferrous metals (32263),,,,922.76
2011,Multilateral,Production sectors (300),,Mineral resources and mining (322),Nonferrous metals (32264),,,,2580.68
2011,Multilateral,Production sectors (300),,Mineral resources and mining (322),Precious metals/materials (32265),,,,38.12
2011,Multilateral,Production sectors (300),,Mineral resources and mining (322),Industrial minerals (32266),,,,0
2011,Multilateral,Production sectors (300),,Mineral resources and mining (322),Fertilizer minerals (32267),,,,0
2011,Multilateral,Production sectors (300),,Mineral resources and mining (322),Offshore minerals (32268),,,,0
2011,Multilateral,Production sectors (300),,Construction (323),,,,,402.82
2011,Multilateral,Production sectors (300),,Construction (323),Construction policy and administrative management (32310),,,,402.82
2011,Multilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),,,,,25600.24
2011,Multilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade policy and administrative Management (33110),,,,9759.36
2011,Multilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade facilitation (33120),,,,10006.46
2011,Multilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Regional trade agreements (RTAs) (33130),,,,3722.3
2011,Multilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Multilateral trade negotiations (33140),,,,929.71
2011,Multilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade-related adjustment (33150),,,,857.71
2011,Multilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade education/training (33181),,,,324.7
2011,Multilateral,Production sectors (300),,Tourism (332),,,,,1515.11
2011,Multilateral,Production sectors (300),,Tourism (332),Tourism policy and administrative management (33210),,,,1515.11
2011,Multilateral,Multisector or cross-cutting (400),,,,,,,275186.32
2011,Multilateral,Multisector or cross-cutting (400),General environmental protection (410),,,,,,115304.71
2011,Multilateral,Multisector or cross-cutting (400),General environmental protection (410),,Environmental policy and administrative management (41010),,,,49761.06
2011,Multilateral,Multisector or cross-cutting (400),General environmental protection (410),,Biosphere protection (41020),,,,28469.83
2011,Multilateral,Multisector or cross-cutting (400),General environmental protection (410),,Bio-diversity (41030),,,,26177.56
2011,Multilateral,Multisector or cross-cutting (400),General environmental protection (410),,Site preservation (41040),,,,1547.2
2011,Multilateral,Multisector or cross-cutting (400),General environmental protection (410),,Flood prevention/control (41050),,,,8516.01
2011,Multilateral,Multisector or cross-cutting (400),General environmental protection (410),,Environmental education/ training (41081),,,,584.66
2011,Multilateral,Multisector or cross-cutting (400),General environmental protection (410),,Environmental research (41082),,,,248.37
2011,Multilateral,Multisector or cross-cutting (400),Other multisector (430),,,,,,159881.61
2011,Multilateral,Multisector or cross-cutting (400),Other multisector (430),,Multisector aid (43010),,,,57581.87
2011,Multilateral,Multisector or cross-cutting (400),Other multisector (430),,Urban development and management (43030),,,,24982.6
2011,Multilateral,Multisector or cross-cutting (400),Other multisector (430),,Rural development (43040),,,,73875.32
2011,Multilateral,Multisector or cross-cutting (400),Other multisector (430),,Non-agricultural alternative development (43050),,,,51.82
2011,Multilateral,Multisector or cross-cutting (400),Other multisector (430),,Multisector education/training (43081),,,,158.68
2011,Multilateral,Multisector or cross-cutting (400),Other multisector (430),,Research/scientific institutions (43082),,,,3231.33
2011,Multilateral,Commodity aid and general programme assistance (500),,,,,,,129655.82
2011,Multilateral,Commodity aid and general programme assistance (500),General budget support (510),,,,,,106686.72
2011,Multilateral,Commodity aid and general programme assistance (500),General budget support (510),,General budget support-related aid (51010),,,,106686.72
2011,Multilateral,Commodity aid and general programme assistance (500),Developmental food aid or food security assistance (520),,,,,,22969.1
2011,Multilateral,Commodity aid and general programme assistance (500),Developmental food aid or food security assistance (520),,Food aid/Food security programmes (52010),,,,22969.1
2011,Multilateral,Commodity aid and general programme assistance (500),Other commodity assistance (530),,,,,,0
2011,Multilateral,Commodity aid and general programme assistance (500),Other commodity assistance (530),,Import support (capital goods) (53030),,,,0
2011,Multilateral,Commodity aid and general programme assistance (500),Other commodity assistance (530),,Import support (commodities) (53040),,,,0
2011,Multilateral,Debt relief (600),,,,,,,82227.53
2011,Multilateral,Debt relief (600),,,Action relating to debt (60010),,,,0
2011,Multilateral,Debt relief (600),,,Debt forgiveness (60020),,,,82227.53
2011,Multilateral,Debt relief (600),,,Relief of multilateral debt (60030),,,,0
2011,Multilateral,Debt relief (600),,,Rescheduling and refinancing (60040),,,,0
2011,Multilateral,Debt relief (600),,,Debt for development swap (60061),,,,0
2011,Multilateral,Debt relief (600),,,Other debt swap (60062),,,,0
2011,Multilateral,Debt relief (600),,,Debt buy-back (60063),,,,0
2011,Multilateral,Humanitarian aid (700),,,,,,,196815.89
2011,Multilateral,Humanitarian aid (700),Emergency response (720),,,,,,136509.96
2011,Multilateral,Humanitarian aid (700),Emergency response (720),,Material relief assistance and services (72010),,,,74542.34
2011,Multilateral,Humanitarian aid (700),Emergency response (720),,Emergency food aid (72040),,,,43258.05
2011,Multilateral,Humanitarian aid (700),Emergency response (720),,Relief co-ordination; protection and support services (72050),,,,18709.57
2011,Multilateral,Humanitarian aid (700),Reconstruction relief and rehabilitation (730),,,,,,42722.24
2011,Multilateral,Humanitarian aid (700),Reconstruction relief and rehabilitation (730),,Reconstruction relief and rehabilitation (73010),,,,42722.24
2011,Multilateral,Humanitarian aid (700),Disaster prevention and preparedness (740),,,,,,17583.69
2011,Multilateral,Humanitarian aid (700),Disaster prevention and preparedness (740),,Disaster prevention and preparedness (74010),,,,17583.69
2011,Multilateral,Administrative costs of donors (910),,,,,,,74698.65
2011,Multilateral,Administrative costs of donors (910),,,Administrative costs (non-sector allocable) (91010),,,,74698.65
2011,Multilateral,Refugees in donor countries (930),,,,,,,0
2011,Multilateral,Refugees in donor countries (930),,,Refugees in donor countries (non-sector allocable) (93010),,,,0
2011,Multilateral,Unallocated or unspecified (998),,,,,,,371454.96
2011,Multilateral,Unallocated or unspecified (998),,,Sectors not specified (99810),,,,362897.29
2011,Multilateral,Unallocated or unspecified (998),,,Promotion of development awareness (non-sector allocable) (99820),,,,8557.67
2012,,,,,,,,,8801919.05
2012,,Social infrastructure and services (100),,,,,,,3798129.47
2012,,Social infrastructure and services (100),Education (110),,,,,,775772.96
2012,,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",,,,,332941.02
2012,,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Education policy and administrative management (11110),,,,279727.51
2012,,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Education facilities and training (11120),,,,28180.04
2012,,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Teacher training (11130),,,,22649.07
2012,,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Educational research (11182),,,,2384.41
2012,,Social infrastructure and services (100),Education (110),Basic education (112),,,,,295664.96
2012,,Social infrastructure and services (100),Education (110),Basic education (112),Primary education (11220),,,,262972.41
2012,,Social infrastructure and services (100),Education (110),Basic education (112),Basic life skills for youth and adults (11230),,,,29728.55
2012,,Social infrastructure and services (100),Education (110),Basic education (112),Early childhood education (11240),,,,2964
2012,,Social infrastructure and services (100),Education (110),Secondary education (113),,,,,59482.91
2012,,Social infrastructure and services (100),Education (110),Secondary education (113),Secondary education (11320),,,,37753.73
2012,,Social infrastructure and services (100),Education (110),Secondary education (113),Vocational training (11330),,,,21729.17
2012,,Social infrastructure and services (100),Education (110),Post-secondary education (114),,,,,87684.07
2012,,Social infrastructure and services (100),Education (110),Post-secondary education (114),Higher education (11420),,,,69193.97
2012,,Social infrastructure and services (100),Education (110),Post-secondary education (114),Advanced technical and managerial training (11430),,,,18490.09
2012,,Social infrastructure and services (100),Health (120),,,,,,943919.58
2012,,Social infrastructure and services (100),Health (120),"Health, general (121)",,,,,228720.98
2012,,Social infrastructure and services (100),Health (120),"Health, general (121)",Health policy and administrative management (12110),,,,137164.03
2012,,Social infrastructure and services (100),Health (120),"Health, general (121)",Medical education/training (12181),,,,2066.91
2012,,Social infrastructure and services (100),Health (120),"Health, general (121)",Medical research (12182),,,,84163.14
2012,,Social infrastructure and services (100),Health (120),"Health, general (121)",Medical services (12191),,,,5326.9
2012,,Social infrastructure and services (100),Health (120),Basic health (122),,,,,715198.61
2012,,Social infrastructure and services (100),Health (120),Basic health (122),Basic health care (12220),,,,348535.55
2012,,Social infrastructure and services (100),Health (120),Basic health (122),Basic health infrastructure (12230),,,,2119.19
2012,,Social infrastructure and services (100),Health (120),Basic health (122),Basic nutrition (12240),,,,46763.09
2012,,Social infrastructure and services (100),Health (120),Basic health (122),Infectious disease control (12250),,,,133273.47
2012,,Social infrastructure and services (100),Health (120),Basic health (122),Health education (12261),,,,18519.68
2012,,Social infrastructure and services (100),Health (120),Basic health (122),Malaria control (12262),,,,135057.8
2012,,Social infrastructure and services (100),Health (120),Basic health (122),Tuberculosis control (12263),,,,26918.54
2012,,Social infrastructure and services (100),Health (120),Basic health (122),Health personnel development (12281),,,,4011.29
2012,,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,,,,,544649.53
2012,,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,Population policy and administrative management (13010),,,,27913.18
2012,,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,Reproductive health care (13020),,,,202166.11
2012,,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,Family planning (13030),,,,110224.58
2012,,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,STD control including HIV/AIDS (13040),,,,203434.64
2012,,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,Personnel development for population and reproductive health (13081),,,,911.02
2012,,Social infrastructure and services (100),Water and sanitation (140),,,,,,219389.86
2012,,Social infrastructure and services (100),Water and sanitation (140),,Water sector policy and administrative management (14010),,,,39762.73
2012,,Social infrastructure and services (100),Water and sanitation (140),,Water resources conservation (including data collection) (14015),,,,5555.5
2012,,Social infrastructure and services (100),Water and sanitation (140),,Water supply and sanitation - large systems (14020),,,,25868.35
2012,,Social infrastructure and services (100),Water and sanitation (140),,Water supply - large systems (14021),,,,22689.49
2012,,Social infrastructure and services (100),Water and sanitation (140),,Sanitation - large systems (14022),,,,12532.57
2012,,Social infrastructure and services (100),Water and sanitation (140),,Basic drinking water supply and basic sanitation (14030),,,,71843.33
2012,,Social infrastructure and services (100),Water and sanitation (140),,Basic drinking water supply (14031),,,,10620.72
2012,,Social infrastructure and services (100),Water and sanitation (140),,Basic sanitation (14032),,,,13540.59
2012,,Social infrastructure and services (100),Water and sanitation (140),,River basins? development (14040),,,,5380.62
2012,,Social infrastructure and services (100),Water and sanitation (140),,Waste management / disposal (14050),,,,11396.36
2012,,Social infrastructure and services (100),Water and sanitation (140),,Education and training in water supply and sanitation (14081),,,,199.6
2012,,Social infrastructure and services (100),Government and civil society (150),,,,,,1006480.66
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",,,,,788696.52
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Public sector policy and administrative management (15110),,,,212744.37
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Public Finance Management (PFM) (15111),,,,179428.73
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Decentralisation and support to subnational government (15112),,,,19635.01
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Anti-corruption organisations and institutions (15113),,,,44262.38
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Domestic Revenue Mobilisation (15114),,,,2875.55
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Legal and judicial development (15130),,,,57743.12
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Democratic participation and civil society (15150),,,,159509.65
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Elections (15151),,,,51971.94
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Legislatures and political parties (15152),,,,9267.73
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Media and free flow of information (15153),,,,8797.85
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Human rights (15160),,,,17720.34
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Womens equality organisations and institutions (15170),,,,24739.85
2012,,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Ending violence against women and girls  (15180),,,,0
2012,,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",,,,,217784.14
2012,,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",Security system management and reform (15210),,,,88802.29
2012,,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)","Civilian peace-building, conflict prevention and resolution (15220)",,,,105683.32
2012,,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",Participation in international peacekeeping operations (15230),,,,7859.04
2012,,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",Reintegration and SALW control (15240),,,,1626.23
2012,,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",Removal of land mines and explosive remnants of war (15250),,,,13458.12
2012,,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",Child soldiers (Prevention and demobilisation) (15261),,,,355.14
2012,,Social infrastructure and services (100),Other social infrastructure and services (160),,,,,,307916.88
2012,,Social infrastructure and services (100),Other social infrastructure and services (160),,Social/ welfare services (16010),,,,203822.29
2012,,Social infrastructure and services (100),Other social infrastructure and services (160),,Employment policy and administrative management (16020),,,,27716.2
2012,,Social infrastructure and services (100),Other social infrastructure and services (160),,Housing policy and administrative management (16030),,,,798.68
2012,,Social infrastructure and services (100),Other social infrastructure and services (160),,Low-cost housing (16040),,,,17901.29
2012,,Social infrastructure and services (100),Other social infrastructure and services (160),,Multisector aid for basic social services (16050),,,,13459.89
2012,,Social infrastructure and services (100),Other social infrastructure and services (160),,Culture and recreation (16061),,,,3519.22
2012,,Social infrastructure and services (100),Other social infrastructure and services (160),,Statistical capacity building (16062),,,,29286.1
2012,,Social infrastructure and services (100),Other social infrastructure and services (160),,Narcotics control (16063),,,,7839.63
2012,,Social infrastructure and services (100),Other social infrastructure and services (160),,Social mitigation of HIV/AIDS (16064),,,,3573.58
2012,,Economic infrastructure and services (200),,,,,,,1238449.69
2012,,Economic infrastructure and services (200),Transport and storage (210),,,,,,447300.21
2012,,Economic infrastructure and services (200),Transport and storage (210),,Transport policy and administrative management (21010),,,,142536.03
2012,,Economic infrastructure and services (200),Transport and storage (210),,Road transport (21020),,,,242438.35
2012,,Economic infrastructure and services (200),Transport and storage (210),,Rail transport (21030),,,,46128.17
2012,,Economic infrastructure and services (200),Transport and storage (210),,Water transport (21040),,,,11336.35
2012,,Economic infrastructure and services (200),Transport and storage (210),,Air transport (21050),,,,4816.32
2012,,Economic infrastructure and services (200),Transport and storage (210),,Storage (21061),,,,0
2012,,Economic infrastructure and services (200),Transport and storage (210),,Education and training in transport and storage (21081),,,,45
2012,,Economic infrastructure and services (200),Communications (220),,,,,,11951.57
2012,,Economic infrastructure and services (200),Communications (220),,Communications policy and administrative management (22010),,,,4119.98
2012,,Economic infrastructure and services (200),Communications (220),,Telecommunications (22020),,,,8300.2
2012,,Economic infrastructure and services (200),Communications (220),,Radio/television/print media (22030),,,,3126.94
2012,,Economic infrastructure and services (200),Communications (220),,Information and communication technology (ICT) (22040),,,,-3595.55
2012,,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)",,,,,,472870.2
