Year,Flow of Overseas Development Assistance,Aid Category (DAC 5 Code),Aid Subcategory (DAC 5 Code),Aid Description (CRS Code),Value
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),0
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),4543.1
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1208.12
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",,12151.82
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",2942.88
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),4.28
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0.91
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),7995.97
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),1207.79
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),,0
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),,3621.61
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),3621.61
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",,84480.92
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),0
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),2.78
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),84252.21
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),225.93
2015,Multilateral,Banking and Financial Services (240),,,216883.58
2015,Multilateral,Banking and Financial Services (240),,Financial policy and administrative management (24010),14818.04
2015,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),1214.2
2015,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),193882.81
2015,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),6712.5
2015,Multilateral,Banking and Financial Services (240),,Education/training in banking and financial services (24081),256.04
2015,Multilateral,Business and Other Services,,,57915.1
2015,Multilateral,Business and Other Services,,Business support services and institutions (25010),53656.2
2015,Multilateral,Business and Other Services,,Privatisation (25020),4258.91
