Year,Age,Sex,Type of account,Value
2015,16 to 24,Male,Other bank or building society account,21
2015,16 to 24,Male,Stocks and shares or member of a share club,2
2015,16 to 24,Male,Endowment policy (not linked),0
2015,16 to 24,Male,Premium bonds,4
2015,16 to 24,Male,Company share scheme or profit sharing,1
2015,16 to 24,Male,,89
2015,16 to 24,Male,Any direct payment account (including POCAs),89
2015,16 to 24,Male,Any direct payment account (excluding POCAs),88
2015,25 to 34,Male,Current account,90
2015,25 to 34,Male,National Savings and Investments (NS&I) savings account,3
2015,25 to 34,Male,Basic bank account,6
2015,25 to 34,Male,Post Office Card Account (POCA),1
2015,25 to 34,Male,Individual Savings Account (ISA),24
2015,25 to 34,Male,Other bank or building society account,31
2015,25 to 34,Male,Stocks and shares or member of a share club,6
2015,25 to 34,Male,Unit trusts,1
2015,25 to 34,Male,Endowment policy (not linked),0
2015,25 to 34,Male,Premium bonds,5
2015,25 to 34,Male,Company share scheme or profit sharing,2
2015,25 to 34,Male,Credit unions,1
2015,25 to 34,Male,,95
2015,25 to 34,Male,Any direct payment account (including POCAs),94
2015,25 to 34,Male,Any direct payment account (excluding POCAs),94
2015,35 to 44,Male,Current account,92
2015,35 to 44,Male,National Savings and Investments (NS&I) savings account,2
2015,35 to 44,Male,Basic bank account,6
2015,35 to 44,Male,Post Office Card Account (POCA),1
2015,35 to 44,Male,Individual Savings Account (ISA),27
2015,35 to 44,Male,Other bank or building society account,36
2015,35 to 44,Male,Stocks and shares or member of a share club,8
2015,35 to 44,Male,Unit trusts,1
2015,35 to 44,Male,Endowment policy (not linked),1
2015,35 to 44,Male,Premium bonds,9
2015,35 to 44,Male,National savings bonds,1
2015,35 to 44,Male,Company share scheme or profit sharing,4
2015,35 to 44,Male,Credit unions,1
2015,35 to 44,Male,,95
2015,35 to 44,Male,Any direct payment account (including POCAs),95
2015,35 to 44,Male,Any direct payment account (excluding POCAs),94
2015,45 to 54,Male,Current account,92
2015,45 to 54,Male,National Savings and Investments (NS&I) savings account,2
2015,45 to 54,Male,Basic bank account,6
2015,45 to 54,Male,Post Office Card Account (POCA),2
2015,45 to 54,Male,Individual Savings Account (ISA),29
2015,45 to 54,Male,Other bank or building society account,37
2015,45 to 54,Male,Stocks and shares or member of a share club,13
2015,45 to 54,Male,Unit trusts,2
2015,45 to 54,Male,Endowment policy (not linked),1
2015,45 to 54,Male,Premium bonds,14
2015,45 to 54,Male,National savings bonds,1
2015,45 to 54,Male,Company share scheme or profit sharing,4
2015,45 to 54,Male,Credit unions,1
2015,45 to 54,Male,,95
2015,45 to 54,Male,Any direct payment account (including POCAs),95
2015,45 to 54,Male,Any direct payment account (excluding POCAs),94
2015,55 to 59,Male,Current account,91
2015,55 to 59,Male,National Savings and Investments (NS&I) savings account,3
2015,55 to 59,Male,Basic bank account,6
2015,55 to 59,Male,Post Office Card Account (POCA),3
2015,55 to 59,Male,Individual Savings Account (ISA),38
2015,55 to 59,Male,Other bank or building society account,39
2015,55 to 59,Male,Stocks and shares or member of a share club,19
2015,55 to 59,Male,Unit trusts,4
2015,55 to 59,Male,Endowment policy (not linked),1
2015,55 to 59,Male,Premium bonds,17
2015,55 to 59,Male,National savings bonds,2
2015,55 to 59,Male,Company share scheme or profit sharing,3
2015,55 to 59,Male,Credit unions,2
2015,55 to 59,Male,Any other type of asset,1
2015,55 to 59,Male,,96
2015,55 to 59,Male,Any direct payment account (including POCAs),95
2015,55 to 59,Male,Any direct payment account (excluding POCAs),94
2015,60 to 64,Male,Current account,91
2015,60 to 64,Male,National Savings and Investments (NS&I) savings account,2
2015,60 to 64,Male,Basic bank account,5
2015,60 to 64,Male,Post Office Card Account (POCA),3
2015,60 to 64,Male,Individual Savings Account (ISA),42
2015,60 to 64,Male,Other bank or building society account,42
2015,60 to 64,Male,Stocks and shares or member of a share club,18
2015,60 to 64,Male,Unit trusts,6
2015,60 to 64,Male,Endowment policy (not linked),1
2015,60 to 64,Male,Premium bonds,22
2015,60 to 64,Male,National savings bonds,3
2015,60 to 64,Male,Company share scheme or profit sharing,2
2015,60 to 64,Male,Credit unions,1
2015,60 to 64,Male,Any other type of asset,1
2015,60 to 64,Male,,94
2015,60 to 64,Male,Any direct payment account (including POCAs),94
2015,60 to 64,Male,Any direct payment account (excluding POCAs),93
2015,65 to 74,Male,Current account,93
2015,65 to 74,Male,National Savings and Investments (NS&I) savings account,5
2015,65 to 74,Male,Basic bank account,5
2015,65 to 74,Male,Post Office Card Account (POCA),3
2015,65 to 74,Male,Individual Savings Account (ISA),50
2015,65 to 74,Male,Other bank or building society account,46
2015,65 to 74,Male,Stocks and shares or member of a share club,22
2015,65 to 74,Male,Unit trusts,6
2015,65 to 74,Male,Premium bonds,27
2015,65 to 74,Male,National savings bonds,10
2015,65 to 74,Male,Company share scheme or profit sharing,1
2015,65 to 74,Male,Credit unions,1
2015,65 to 74,Male,Any other type of asset,1
2015,65 to 74,Male,,96
2015,65 to 74,Male,Any direct payment account (including POCAs),96
2015,65 to 74,Male,Any direct payment account (excluding POCAs),95
2015,75 to 84,Male,Current account,92
2015,75 to 84,Male,National Savings and Investments (NS&I) savings account,4
2015,75 to 84,Male,Basic bank account,3
2015,75 to 84,Male,Post Office Card Account (POCA),5
2015,75 to 84,Male,Individual Savings Account (ISA),44
2015,75 to 84,Male,Other bank or building society account,37
2015,75 to 84,Male,Stocks and shares or member of a share club,18
2015,75 to 84,Male,Unit trusts,5
2015,75 to 84,Male,Endowment policy (not linked),0
2015,75 to 84,Male,Premium bonds,24
2015,75 to 84,Male,National savings bonds,7
2015,75 to 84,Male,Any other type of asset,1
2015,75 to 84,Male,,96
2015,75 to 84,Male,Any direct payment account (including POCAs),95
2015,75 to 84,Male,Any direct payment account (excluding POCAs),93
2015,85 and over,Male,Current account,91
2015,85 and over,Male,National Savings and Investments (NS&I) savings account,2
2015,85 and over,Male,Basic bank account,2
2015,85 and over,Male,Post Office Card Account (POCA),6
2015,85 and over,Male,Individual Savings Account (ISA),43
2015,85 and over,Male,Other bank or building society account,39
2015,85 and over,Male,Stocks and shares or member of a share club,25
2015,85 and over,Male,Unit trusts,5
2015,85 and over,Male,Endowment policy (not linked),0
2015,85 and over,Male,Premium bonds,29
2015,85 and over,Male,National savings bonds,8
2015,85 and over,Male,Company share scheme or profit sharing,0
2015,85 and over,Male,Any other type of asset,1
2015,85 and over,Male,,95
2015,85 and over,Male,Any direct payment account (including POCAs),94
2015,85 and over,Male,Any direct payment account (excluding POCAs),93
2015,75 to 84,,Credit unions,
2015,75 to 84,,Any other type of asset,1
2015,75 to 84,,Any type of account (including POCAs),95
2015,75 to 84,,Any type of account (excluding POCAs),94
2015,75 to 84,,No accounts (including POCAs),5
2015,75 to 84,,No accounts (excluding POCAs),6
2015,75 to 84,,Any direct payment account (including POCAs),94
2015,75 to 84,,Any direct payment account (excluding POCAs),93
2015,85 and over,,Current account,88
2015,85 and over,,National Savings and Investments (NS&I) savings account,2
2015,85 and over,,Basic bank account,1
2015,85 and over,,Post Office Card Account (POCA),8
2015,85 and over,,Individual Savings Account (ISA),36
2015,85 and over,,Other bank or building society account,38
2015,85 and over,,Stocks and shares or member of a share club,18
2015,85 and over,,Unit trusts,4
2015,85 and over,,Endowment policy (not linked),0
2015,85 and over,,Premium bonds,23
2015,85 and over,,National savings bonds,6
2015,85 and over,,Company share scheme or profit sharing,
2015,85 and over,,Credit unions,
2015,85 and over,,Any other type of asset,1
2015,85 and over,,Any type of account (including POCAs),93
2015,85 and over,,Any type of account (excluding POCAs),91
2015,85 and over,,No accounts (including POCAs),7
2015,85 and over,,No accounts (excluding POCAs),9
2015,85 and over,,Any direct payment account (including POCAs),93
2015,85 and over,,Any direct payment account (excluding POCAs),91
2015,,Female,Current account,91
2015,,Female,National Savings and Investments (NS&I) savings account,2
2015,,Female,Basic bank account,5
2015,,Female,Post Office Card Account (POCA),3
2015,,Female,Individual Savings Account (ISA),33
2015,,Female,Other bank or building society account,37
2015,,Female,Stocks and shares or member of a share club,10
2015,,Female,Unit trusts,2
2015,,Female,Endowment policy (not linked),
2015,,Female,Premium bonds,14
2015,,Female,National savings bonds,3
2015,,Female,Company share scheme or profit sharing,1
2015,,Female,Credit unions,1
2015,,Female,Any other type of asset,
2015,,Female,Any type of account (including POCAs),95
2015,,Female,Any type of account (excluding POCAs),94
2015,,Female,No accounts (including POCAs),5
2015,,Female,No accounts (excluding POCAs),6
2015,,Female,Any direct payment account (including POCAs),95
2015,,Female,Any direct payment account (excluding POCAs),94
2015,16 to 24,Female,Current account,87
2015,16 to 24,Female,National Savings and Investments (NS&I) savings account,1
2015,16 to 24,Female,Basic bank account,5
2015,16 to 24,Female,Post Office Card Account (POCA),1
2015,16 to 24,Female,Individual Savings Account (ISA),15
2015,16 to 24,Female,Other bank or building society account,25
2015,16 to 24,Female,Stocks and shares or member of a share club,2
2015,16 to 24,Female,Unit trusts,0
2015,16 to 24,Female,Endowment policy (not linked),0
2015,16 to 24,Female,Premium bonds,4
2015,16 to 24,Female,National savings bonds,
2015,16 to 24,Female,Company share scheme or profit sharing,1
2015,16 to 24,Female,Credit unions,
2015,16 to 24,Female,Any other type of asset,
2015,16 to 24,Female,Any type of account (including POCAs),91
2015,16 to 24,Female,Any type of account (excluding POCAs),91
2015,16 to 24,Female,No accounts (including POCAs),9
2015,16 to 24,Female,No accounts (excluding POCAs),9
2015,16 to 24,Female,Any direct payment account (including POCAs),91
2015,16 to 24,Female,Any direct payment account (excluding POCAs),91
2015,25 to 34,Female,Current account,91
2015,25 to 34,Female,National Savings and Investments (NS&I) savings account,2
2015,25 to 34,Female,Basic bank account,6
2015,25 to 34,Female,Post Office Card Account (POCA),1
2015,25 to 34,Female,Individual Savings Account (ISA),25
2015,25 to 34,Female,Other bank or building society account,32
2015,25 to 34,Female,Stocks and shares or member of a share club,3
2015,25 to 34,Female,Unit trusts,
2015,25 to 34,Female,Endowment policy (not linked),0
2015,25 to 34,Female,Premium bonds,4
2015,25 to 34,Female,National savings bonds,
2015,25 to 34,Female,Company share scheme or profit sharing,1
2015,25 to 34,Female,Credit unions,2
2015,25 to 34,Female,Any other type of asset,
2015,25 to 34,Female,Any type of account (including POCAs),95
2015,25 to 34,Female,Any type of account (excluding POCAs),95
2015,25 to 34,Female,No accounts (including POCAs),5
2015,25 to 34,Female,No accounts (excluding POCAs),5
2015,25 to 34,Female,Any direct payment account (including POCAs),95
2015,25 to 34,Female,Any direct payment account (excluding POCAs),95
2015,35 to 44,Female,Current account,91
2015,35 to 44,Female,National Savings and Investments (NS&I) savings account,2
2015,35 to 44,Female,Basic bank account,7
2015,35 to 44,Female,Post Office Card Account (POCA),2
2015,35 to 44,Female,Individual Savings Account (ISA),28
2015,35 to 44,Female,Other bank or building society account,36
2015,35 to 44,Female,Stocks and shares or member of a share club,6
2015,35 to 44,Female,Unit trusts,1
2015,35 to 44,Female,Endowment policy (not linked),
2015,35 to 44,Female,Premium bonds,8
2015,35 to 44,Female,National savings bonds,1
2015,35 to 44,Female,Company share scheme or profit sharing,2
2015,35 to 44,Female,Credit unions,2
2015,35 to 44,Female,Any other type of asset,
2015,35 to 44,Female,Any type of account (including POCAs),96
2015,35 to 44,Female,Any type of account (excluding POCAs),95
2015,35 to 44,Female,No accounts (including POCAs),4
2015,35 to 44,Female,No accounts (excluding POCAs),5
2015,35 to 44,Female,Any direct payment account (including POCAs),95
2015,35 to 44,Female,Any direct payment account (excluding POCAs),95
2015,45 to 54,Female,Current account,92
2015,45 to 54,Female,National Savings and Investments (NS&I) savings account,3
2015,45 to 54,Female,Basic bank account,6
2015,45 to 54,Female,Post Office Card Account (POCA),3
2015,45 to 54,Female,Individual Savings Account (ISA),33
2015,45 to 54,Female,Other bank or building society account,39
2015,45 to 54,Female,Stocks and shares or member of a share club,11
2015,45 to 54,Female,Unit trusts,2
2015,45 to 54,Female,Endowment policy (not linked),1
2015,45 to 54,Female,Premium bonds,15
2015,45 to 54,Female,National savings bonds,1
2015,45 to 54,Female,Company share scheme or profit sharing,2
2015,45 to 54,Female,Credit unions,2
2015,45 to 54,Female,Any other type of asset,1
2015,45 to 54,Female,Any type of account (including POCAs),96
2015,45 to 54,Female,Any type of account (excluding POCAs),95
2015,45 to 54,Female,No accounts (including POCAs),4
2015,45 to 54,Female,No accounts (excluding POCAs),5
2015,45 to 54,Female,Any direct payment account (including POCAs),96
2015,45 to 54,Female,Any direct payment account (excluding POCAs),94
2015,55 to 59,Female,Current account,94
2015,55 to 59,Female,National Savings and Investments (NS&I) savings account,2
2015,55 to 59,Female,Basic bank account,4
2015,55 to 59,Female,Post Office Card Account (POCA),3
2015,55 to 59,Female,Individual Savings Account (ISA),42
2015,55 to 59,Female,Other bank or building society account,40
2015,55 to 59,Female,Stocks and shares or member of a share club,14
2015,55 to 59,Female,Unit trusts,3
2015,55 to 59,Female,Endowment policy (not linked),1
2015,55 to 59,Female,Premium bonds,21
2015,55 to 59,Female,National savings bonds,2
2015,55 to 59,Female,Company share scheme or profit sharing,2
2015,55 to 59,Female,Credit unions,2
2015,55 to 59,Female,Any other type of asset,1
2015,55 to 59,Female,Any type of account (including POCAs),96
2015,55 to 59,Female,Any type of account (excluding POCAs),96
2015,55 to 59,Female,No accounts (including POCAs),4
2015,55 to 59,Female,No accounts (excluding POCAs),4
2015,55 to 59,Female,Any direct payment account (including POCAs),96
2015,55 to 59,Female,Any direct payment account (excluding POCAs),95
2015,60 to 64,Female,Current account,91
2015,60 to 64,Female,National Savings and Investments (NS&I) savings account,3
2015,60 to 64,Female,Basic bank account,5
2015,60 to 64,Female,Post Office Card Account (POCA),3
2015,60 to 64,Female,Individual Savings Account (ISA),44
2015,60 to 64,Female,Other bank or building society account,42
2015,60 to 64,Female,Stocks and shares or member of a share club,16
2015,60 to 64,Female,Unit trusts,4
2015,60 to 64,Female,Endowment policy (not linked),
2015,60 to 64,Female,Premium bonds,23
2015,60 to 64,Female,National savings bonds,4
2015,60 to 64,Female,Company share scheme or profit sharing,1
2015,60 to 64,Female,Credit unions,1
2015,60 to 64,Female,Any other type of asset,1
2015,60 to 64,Female,Any type of account (including POCAs),96
2015,60 to 64,Female,Any type of account (excluding POCAs),95
2015,60 to 64,Female,No accounts (including POCAs),4
2015,60 to 64,Female,No accounts (excluding POCAs),5
2015,60 to 64,Female,Any direct payment account (including POCAs),95
2015,60 to 64,Female,Any direct payment account (excluding POCAs),93
2015,65 to 74,Female,Current account,92
2015,65 to 74,Female,National Savings and Investments (NS&I) savings account,4
2015,65 to 74,Female,Basic bank account,3
2015,65 to 74,Female,Post Office Card Account (POCA),4
2015,65 to 74,Female,Individual Savings Account (ISA),51
2015,65 to 74,Female,Other bank or building society account,43
2015,65 to 74,Female,Stocks and shares or member of a share club,18
2015,65 to 74,Female,Unit trusts,5
2015,65 to 74,Female,Endowment policy (not linked),
2015,65 to 74,Female,Premium bonds,25
2015,65 to 74,Female,National savings bonds,10
2015,65 to 74,Female,Company share scheme or profit sharing,
2015,65 to 74,Female,Credit unions,1
2015,65 to 74,Female,Any other type of asset,1
2015,65 to 74,Female,Any type of account (including POCAs),96
2015,65 to 74,Female,Any type of account (excluding POCAs),95
2015,65 to 74,Female,No accounts (including POCAs),4
2015,65 to 74,Female,No accounts (excluding POCAs),5
2015,65 to 74,Female,Any direct payment account (including POCAs),95
2015,65 to 74,Female,Any direct payment account (excluding POCAs),94
2015,75 to 84,Female,Current account,90
2015,75 to 84,Female,National Savings and Investments (NS&I) savings account,3
2015,75 to 84,Female,Basic bank account,3
2015,75 to 84,Female,Post Office Card Account (POCA),6
2015,75 to 84,Female,Individual Savings Account (ISA),42
2015,75 to 84,Female,Other bank or building society account,39
2015,75 to 84,Female,Stocks and shares or member of a share club,16
2015,75 to 84,Female,Unit trusts,3
2015,75 to 84,Female,Endowment policy (not linked),0
2015,75 to 84,Female,Premium bonds,23
2015,75 to 84,Female,National savings bonds,9
2015,75 to 84,Female,Company share scheme or profit sharing,
2015,75 to 84,Female,Credit unions,
2015,75 to 84,Female,Any other type of asset,
2015,75 to 84,Female,Any type of account (including POCAs),94
2015,75 to 84,Female,Any type of account (excluding POCAs),93
2015,75 to 84,Female,No accounts (including POCAs),6
2015,75 to 84,Female,No accounts (excluding POCAs),7
2015,75 to 84,Female,Any direct payment account (including POCAs),94
2015,75 to 84,Female,Any direct payment account (excluding POCAs),93
2015,85 and over,Female,Current account,87
2015,85 and over,Female,National Savings and Investments (NS&I) savings account,2
2015,85 and over,Female,Basic bank account,1
2015,85 and over,Female,Post Office Card Account (POCA),9
2015,85 and over,Female,Individual Savings Account (ISA),32
2015,85 and over,Female,Other bank or building society account,38
2015,85 and over,Female,Stocks and shares or member of a share club,14
2015,85 and over,Female,Unit trusts,3
2015,85 and over,Female,Endowment policy (not linked),0
2015,85 and over,Female,Premium bonds,20
2015,85 and over,Female,National savings bonds,4
2015,85 and over,Female,Company share scheme or profit sharing,
2015,85 and over,Female,Credit unions,
2015,85 and over,Female,Any other type of asset,1
2015,85 and over,Female,Any type of account (including POCAs),92
2015,85 and over,Female,Any type of account (excluding POCAs),90
2015,85 and over,Female,No accounts (including POCAs),8
2015,85 and over,Female,No accounts (excluding POCAs),10
2015,85 and over,Female,Any direct payment account (including POCAs),92
2015,85 and over,Female,Any direct payment account (excluding POCAs),89
2015,,Male,Current account,91
2015,,Male,National Savings and Investments (NS&I) savings account,3
2015,,Male,Basic bank account,5
2015,,Male,Post Office Card Account (POCA),2
2015,,Male,Individual Savings Account (ISA),32
2015,,Male,Other bank or building society account,36
2015,,Male,Stocks and shares or member of a share club,12
2015,,Male,Unit trusts,3
2015,,Male,Endowment policy (not linked),
2015,,Male,Premium bonds,14
2015,,Male,National savings bonds,3
2015,,Male,Company share scheme or profit sharing,2
2015,,Male,Credit unions,1
2015,,Male,Any other type of asset,1
2015,,Male,Any type of account (including POCAs),95
2015,,Male,Any type of account (excluding POCAs),94
2015,,Male,No accounts (including POCAs),5
2015,,Male,No accounts (excluding POCAs),6
2015,,Male,Any direct payment account (including POCAs),94
2015,,Male,Any direct payment account (excluding POCAs),93
2015,16 to 24,Male,Current account,83
2015,16 to 24,Male,National Savings and Investments (NS&I) savings account,1
2015,16 to 24,Male,Basic bank account,6
2015,16 to 24,Male,Post Office Card Account (POCA),1
2015,16 to 24,Male,Individual Savings Account (ISA),12
2015,16 to 24,Male,Other bank or building society account,21
2015,16 to 24,Male,Stocks and shares or member of a share club,2
2015,16 to 24,Male,Unit trusts,
2015,16 to 24,Male,Endowment policy (not linked),0
2015,16 to 24,Male,Premium bonds,4
2015,16 to 24,Male,National savings bonds,
2015,16 to 24,Male,Company share scheme or profit sharing,1
2015,16 to 24,Male,Credit unions,
2015,16 to 24,Male,Any other type of asset,
2015,16 to 24,Male,Any type of account (including POCAs),89
2015,16 to 24,Male,Any type of account (excluding POCAs),89
2015,16 to 24,Male,No accounts (including POCAs),11
2015,16 to 24,Male,No accounts (excluding POCAs),11
2015,16 to 24,Male,Any direct payment account (including POCAs),89
2015,16 to 24,Male,Any direct payment account (excluding POCAs),88
2015,25 to 34,Male,Current account,90
2015,25 to 34,Male,National Savings and Investments (NS&I) savings account,3
2015,25 to 34,Male,Basic bank account,6
2015,25 to 34,Male,Post Office Card Account (POCA),1
2015,25 to 34,Male,Individual Savings Account (ISA),24
2015,25 to 34,Male,Other bank or building society account,31
2015,25 to 34,Male,Stocks and shares or member of a share club,6
2015,25 to 34,Male,Unit trusts,1
2015,25 to 34,Male,Endowment policy (not linked),0
2015,25 to 34,Male,Premium bonds,5
2015,25 to 34,Male,National savings bonds,
2015,25 to 34,Male,Company share scheme or profit sharing,2
2015,25 to 34,Male,Credit unions,1
2015,25 to 34,Male,Any other type of asset,
2015,25 to 34,Male,Any type of account (including POCAs),95
2015,25 to 34,Male,Any type of account (excluding POCAs),94
2015,25 to 34,Male,No accounts (including POCAs),5
2015,25 to 34,Male,No accounts (excluding POCAs),6
2015,25 to 34,Male,Any direct payment account (including POCAs),94
2015,25 to 34,Male,Any direct payment account (excluding POCAs),94
2015,35 to 44,Male,Current account,92
2015,35 to 44,Male,National Savings and Investments (NS&I) savings account,2
2015,35 to 44,Male,Basic bank account,6
2015,35 to 44,Male,Post Office Card Account (POCA),1
2015,35 to 44,Male,Individual Savings Account (ISA),27
2015,35 to 44,Male,Other bank or building society account,36
2015,35 to 44,Male,Stocks and shares or member of a share club,8
2015,35 to 44,Male,Unit trusts,1
2015,35 to 44,Male,Endowment policy (not linked),1
2015,35 to 44,Male,Premium bonds,9
2015,35 to 44,Male,National savings bonds,1
2015,35 to 44,Male,Company share scheme or profit sharing,4
2015,35 to 44,Male,Credit unions,1
2015,35 to 44,Male,Any other type of asset,
2015,35 to 44,Male,Any type of account (including POCAs),95
2015,35 to 44,Male,Any type of account (excluding POCAs),95
2015,35 to 44,Male,No accounts (including POCAs),5
2015,35 to 44,Male,No accounts (excluding POCAs),5
2015,35 to 44,Male,Any direct payment account (including POCAs),95
2015,35 to 44,Male,Any direct payment account (excluding POCAs),94
2015,45 to 54,Male,Current account,92
2015,45 to 54,Male,National Savings and Investments (NS&I) savings account,2
2015,45 to 54,Male,Basic bank account,6
2015,45 to 54,Male,Post Office Card Account (POCA),2
2015,45 to 54,Male,Individual Savings Account (ISA),29
2015,45 to 54,Male,Other bank or building society account,37
2015,45 to 54,Male,Stocks and shares or member of a share club,13
2015,45 to 54,Male,Unit trusts,2
2015,45 to 54,Male,Endowment policy (not linked),1
2015,45 to 54,Male,Premium bonds,14
2015,45 to 54,Male,National savings bonds,1
2015,45 to 54,Male,Company share scheme or profit sharing,4
2015,45 to 54,Male,Credit unions,1
2015,45 to 54,Male,Any other type of asset,
2015,45 to 54,Male,Any type of account (including POCAs),95
2015,45 to 54,Male,Any type of account (excluding POCAs),94
2015,45 to 54,Male,No accounts (including POCAs),5
2015,45 to 54,Male,No accounts (excluding POCAs),6
2015,45 to 54,Male,Any direct payment account (including POCAs),95
2015,45 to 54,Male,Any direct payment account (excluding POCAs),94
2015,55 to 59,Male,Current account,91
2015,55 to 59,Male,National Savings and Investments (NS&I) savings account,3
2015,55 to 59,Male,Basic bank account,6
2015,55 to 59,Male,Post Office Card Account (POCA),3
2015,55 to 59,Male,Individual Savings Account (ISA),38
2015,55 to 59,Male,Other bank or building society account,39
2015,55 to 59,Male,Stocks and shares or member of a share club,19
2015,55 to 59,Male,Unit trusts,4
2015,55 to 59,Male,Endowment policy (not linked),1
2015,55 to 59,Male,Premium bonds,17
2015,55 to 59,Male,National savings bonds,2
2015,55 to 59,Male,Company share scheme or profit sharing,3
2015,55 to 59,Male,Credit unions,2
2015,55 to 59,Male,Any other type of asset,1
2015,55 to 59,Male,Any type of account (including POCAs),96
2015,55 to 59,Male,Any type of account (excluding POCAs),95
2015,55 to 59,Male,No accounts (including POCAs),4
2015,55 to 59,Male,No accounts (excluding POCAs),5
2015,55 to 59,Male,Any direct payment account (including POCAs),95
2015,55 to 59,Male,Any direct payment account (excluding POCAs),94
2015,60 to 64,Male,Current account,91
2015,60 to 64,Male,National Savings and Investments (NS&I) savings account,2
2015,60 to 64,Male,Basic bank account,5
2015,60 to 64,Male,Post Office Card Account (POCA),3
2015,60 to 64,Male,Individual Savings Account (ISA),42
2015,60 to 64,Male,Other bank or building society account,42
2015,60 to 64,Male,Stocks and shares or member of a share club,18
2015,60 to 64,Male,Unit trusts,6
2015,60 to 64,Male,Endowment policy (not linked),1
2015,60 to 64,Male,Premium bonds,22
2015,60 to 64,Male,National savings bonds,3
2015,60 to 64,Male,Company share scheme or profit sharing,2
2015,60 to 64,Male,Credit unions,1
2015,60 to 64,Male,Any other type of asset,1
2015,60 to 64,Male,Any type of account (including POCAs),94
2015,60 to 64,Male,Any type of account (excluding POCAs),94
2015,60 to 64,Male,No accounts (including POCAs),6
2015,60 to 64,Male,No accounts (excluding POCAs),6
2015,60 to 64,Male,Any direct payment account (including POCAs),94
2015,60 to 64,Male,Any direct payment account (excluding POCAs),93
2015,65 to 74,Male,Current account,93
2015,65 to 74,Male,National Savings and Investments (NS&I) savings account,5
2015,65 to 74,Male,Basic bank account,5
2015,65 to 74,Male,Post Office Card Account (POCA),3
2015,65 to 74,Male,Individual Savings Account (ISA),50
2015,65 to 74,Male,Other bank or building society account,46
2015,65 to 74,Male,Stocks and shares or member of a share club,22
2015,65 to 74,Male,Unit trusts,6
2015,65 to 74,Male,Endowment policy (not linked),
2015,65 to 74,Male,Premium bonds,27
2015,65 to 74,Male,National savings bonds,10
2015,65 to 74,Male,Company share scheme or profit sharing,1
2015,65 to 74,Male,Credit unions,1
2015,65 to 74,Male,Any other type of asset,1
2015,65 to 74,Male,Any type of account (including POCAs),96
2015,65 to 74,Male,Any type of account (excluding POCAs),95
2015,65 to 74,Male,No accounts (including POCAs),4
2015,65 to 74,Male,No accounts (excluding POCAs),5
2015,65 to 74,Male,Any direct payment account (including POCAs),96
2015,65 to 74,Male,Any direct payment account (excluding POCAs),95
2015,75 to 84,Male,Current account,92
2015,75 to 84,Male,National Savings and Investments (NS&I) savings account,4
2015,75 to 84,Male,Basic bank account,3
2015,75 to 84,Male,Post Office Card Account (POCA),5
2015,75 to 84,Male,Individual Savings Account (ISA),44
2015,75 to 84,Male,Other bank or building society account,37
2015,75 to 84,Male,Stocks and shares or member of a share club,18
2015,75 to 84,Male,Unit trusts,5
2015,75 to 84,Male,Endowment policy (not linked),0
2015,75 to 84,Male,Premium bonds,24
2015,75 to 84,Male,National savings bonds,7
2015,75 to 84,Male,Company share scheme or profit sharing,
2015,75 to 84,Male,Credit unions,
2015,75 to 84,Male,Any other type of asset,1
2015,75 to 84,Male,Any type of account (including POCAs),96
2015,75 to 84,Male,Any type of account (excluding POCAs),94
2015,75 to 84,Male,No accounts (including POCAs),4
2015,75 to 84,Male,No accounts (excluding POCAs),6
2015,75 to 84,Male,Any direct payment account (including POCAs),95
2015,75 to 84,Male,Any direct payment account (excluding POCAs),93
2015,85 and over,Male,Current account,91
2015,85 and over,Male,National Savings and Investments (NS&I) savings account,2
2015,85 and over,Male,Basic bank account,2
2015,85 and over,Male,Post Office Card Account (POCA),6
2015,85 and over,Male,Individual Savings Account (ISA),43
2015,85 and over,Male,Other bank or building society account,39
2015,85 and over,Male,Stocks and shares or member of a share club,25
2015,85 and over,Male,Unit trusts,5
2015,85 and over,Male,Endowment policy (not linked),0
2015,85 and over,Male,Premium bonds,29
2015,85 and over,Male,National savings bonds,8
2015,85 and over,Male,Company share scheme or profit sharing,0
2015,85 and over,Male,Credit unions,
2015,85 and over,Male,Any other type of asset,1
2015,85 and over,Male,Any type of account (including POCAs),95
2015,85 and over,Male,Any type of account (excluding POCAs),94
2015,85 and over,Male,No accounts (including POCAs),5
2015,85 and over,Male,No accounts (excluding POCAs),6
2015,85 and over,Male,Any direct payment account (including POCAs),94
2015,85 and over,Male,Any direct payment account (excluding POCAs),93
