Year,Sex,Age,Occupation category,Occupation sub-category,Value
2011,Male,30 to 39,Sales and customer service occupations,Sales occupations,9.7
2011,Male,30 to 49,Sales and customer service occupations,Sales occupations,10.53
2011,Male,50 to 59,Sales and customer service occupations,Sales occupations,9.85
2011,Male,60 and over,Sales and customer service occupations,Sales occupations,8.58
2011,Male,18 to 21,Sales and customer service occupations,Customer service occupations,7.29
2011,Male,22 to 29,Sales and customer service occupations,Customer service occupations,9.12
2011,Male,30 to 39,Sales and customer service occupations,Customer service occupations,11.82
2011,Male,30 to 49,Sales and customer service occupations,Customer service occupations,13.76
2011,Male,50 to 59,Sales and customer service occupations,Customer service occupations,13.19
2011,Male,60 and over,Sales and customer service occupations,Customer service occupations,9.7
2011,Male,18 to 21,"Process, plant and machine operatives",,7.8
2011,Male,22 to 29,"Process, plant and machine operatives",,9.33
2011,Male,30 to 39,"Process, plant and machine operatives",,10.47
2011,Male,30 to 49,"Process, plant and machine operatives",,11.19
2011,Male,50 to 59,"Process, plant and machine operatives",,11
2011,Male,60 and over,"Process, plant and machine operatives",,9.7
2011,Male,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",7.75
2011,Male,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",9.24
2011,Male,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",10.74
2011,Male,30 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",11.75
2011,Male,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",11.82
2011,Male,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",10.5
2011,Male,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.06
2011,Male,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.48
2011,Male,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.21
2011,Male,30 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.79
2011,Male,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.44
2011,Male,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.38
2011,Male,18 to 21,Elementary occupations,,6.68
2011,Male,22 to 29,Elementary occupations,,7.85
2011,Male,30 to 39,Elementary occupations,,8.88
2011,Male,30 to 49,Elementary occupations,,9.53
2011,Male,50 to 59,Elementary occupations,,9.44
2011,Male,60 and over,Elementary occupations,,8.69
2011,Male,18 to 21,Elementary occupations,Elementary trades and related occupations,7.22
2011,Male,22 to 29,Elementary occupations,Elementary trades and related occupations,8.23
2011,Male,30 to 39,Elementary occupations,Elementary trades and related occupations,9.22
2011,Male,30 to 49,Elementary occupations,Elementary trades and related occupations,10.01
2011,Male,50 to 59,Elementary occupations,Elementary trades and related occupations,9.78
2011,Male,60 and over,Elementary occupations,Elementary trades and related occupations,9.18
2011,Male,18 to 21,Elementary occupations,Elementary administration and service occupations,6.55
2011,Male,22 to 29,Elementary occupations,Elementary administration and service occupations,7.74
2011,Male,30 to 39,Elementary occupations,Elementary administration and service occupations,8.79
2011,Male,30 to 49,Elementary occupations,Elementary administration and service occupations,9.38
2011,Male,50 to 59,Elementary occupations,Elementary administration and service occupations,9.35
2011,Male,60 and over,Elementary occupations,Elementary administration and service occupations,8.57
2011,Female,,,,12.92
2011,Female,18 to 21,,,6.99
2011,Female,22 to 29,,,11.03
2011,Female,30 to 39,,,14.44
2011,Female,30 to 49,,,13.9
2011,Female,50 to 59,,,13.46
2011,Female,60 and over,,,11.56
2011,Female,18 to 21,"Managers, directors and senior officials",,8.36
2011,Female,22 to 29,"Managers, directors and senior officials",,12.65
2011,Female,30 to 39,"Managers, directors and senior officials",,19.97
2011,Female,30 to 49,"Managers, directors and senior officials",,21.42
2011,Female,50 to 59,"Managers, directors and senior officials",,19.62
2011,Female,60 and over,"Managers, directors and senior officials",,15.28
2011,Female,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,8.78
2011,Female,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,13.36
2011,Female,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,21.34
2011,Female,30 to 49,"Managers, directors and senior officials",Corporate managers and directors,22.96
2011,Female,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,21.05
2011,Female,60 and over,"Managers, directors and senior officials",Corporate managers and directors,15.52
2011,Female,18 to 21,"Managers, directors and senior officials",Other managers and proprietors,6.85
2011,Female,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,10.25
2011,Female,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,14.99
2011,Female,30 to 49,"Managers, directors and senior officials",Other managers and proprietors,16.06
2011,Female,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,15.98
2011,Female,60 and over,"Managers, directors and senior officials",Other managers and proprietors,14.77
2011,Female,18 to 21,Professional occupations,,10.79
2011,Female,22 to 29,Professional occupations,,15.78
2011,Female,30 to 39,Professional occupations,,19.35
2011,Female,30 to 49,Professional occupations,,20.27
2011,Female,50 to 59,Professional occupations,,21.12
2011,Female,60 and over,Professional occupations,,20.38
2011,Female,18 to 21,Professional occupations,"Science, research, engineering and technology professionals",10.9
2011,Female,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",14.66
2011,Female,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",19.04
2011,Female,30 to 49,Professional occupations,"Science, research, engineering and technology professionals",20.68
2011,Female,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",22.26
2011,Female,60 and over,Professional occupations,"Science, research, engineering and technology professionals",15.7
2011,Female,18 to 21,Professional occupations,Health professionals,10.59
2011,Female,22 to 29,Professional occupations,Health professionals,15.09
2011,Female,30 to 39,Professional occupations,Health professionals,17.88
2011,Female,30 to 49,Professional occupations,Health professionals,19.01
2011,Female,50 to 59,Professional occupations,Health professionals,19.28
2011,Female,60 and over,Professional occupations,Health professionals,18.15
2011,Female,18 to 21,Professional occupations,Teaching and educational professionals,12.1
2011,Female,22 to 29,Professional occupations,Teaching and educational professionals,16.72
2011,Female,30 to 39,Professional occupations,Teaching and educational professionals,20.92
2011,Female,30 to 49,Professional occupations,Teaching and educational professionals,21.9
2011,Female,50 to 59,Professional occupations,Teaching and educational professionals,23.94
2011,Female,60 and over,Professional occupations,Teaching and educational professionals,24.07
2011,Female,18 to 21,Professional occupations,"Business, media and public service professionals",9.68
2011,Female,22 to 29,Professional occupations,"Business, media and public service professionals",16.06
2011,Female,30 to 39,Professional occupations,"Business, media and public service professionals",19.77
2011,Female,30 to 49,Professional occupations,"Business, media and public service professionals",20.39
2011,Female,50 to 59,Professional occupations,"Business, media and public service professionals",18.96
2011,Female,60 and over,Professional occupations,"Business, media and public service professionals",17.43
2011,Female,18 to 21,Associate professional and technical occupations,,8.04
2011,Female,22 to 29,Associate professional and technical occupations,,12.53
2011,Female,30 to 39,Associate professional and technical occupations,,15.93
2011,Female,30 to 49,Associate professional and technical occupations,,15.85
2011,Female,50 to 59,Associate professional and technical occupations,,14.83
2011,Female,60 and over,Associate professional and technical occupations,,13.23
2011,Female,18 to 21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",9.03
2011,Female,22 to 29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",11.06
2011,Female,30 to 39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",13.81
2011,Female,30 to 49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",13.1
2011,Female,50 to 59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",13.07
2011,Female,60 and over,Associate professional and technical occupations,"Science, engineering and technology associate professionals",10.86
2011,Female,18 to 21,Associate professional and technical occupations,Health and social care associate professionals,8.31
2011,Female,22 to 29,Associate professional and technical occupations,Health and social care associate professionals,11.37
2011,Female,30 to 39,Associate professional and technical occupations,Health and social care associate professionals,12.92
2011,Female,30 to 49,Associate professional and technical occupations,Health and social care associate professionals,12.87
2011,Female,50 to 59,Associate professional and technical occupations,Health and social care associate professionals,13.43
2011,Female,60 and over,Associate professional and technical occupations,Health and social care associate professionals,11.98
2011,Female,18 to 21,Associate professional and technical occupations,Protective service occupations,11.63
2011,Female,22 to 29,Associate professional and technical occupations,Protective service occupations,14.08
2011,Female,30 to 39,Associate professional and technical occupations,Protective service occupations,16.19
2011,Female,30 to 49,Associate professional and technical occupations,Protective service occupations,17.27
2011,Female,50 to 59,Associate professional and technical occupations,Protective service occupations,15.45
2011,Female,60 and over,Associate professional and technical occupations,Protective service occupations,12.4
2011,Female,18 to 21,Associate professional and technical occupations,"Culture, media and sports occupations",7.48
2011,Female,22 to 29,Associate professional and technical occupations,"Culture, media and sports occupations",11.22
2011,Female,30 to 39,Associate professional and technical occupations,"Culture, media and sports occupations",15.05
2011,Female,30 to 49,Associate professional and technical occupations,"Culture, media and sports occupations",16.9
2011,Female,50 to 59,Associate professional and technical occupations,"Culture, media and sports occupations",14.32
2011,Female,60 and over,Associate professional and technical occupations,"Culture, media and sports occupations",11.75
2011,Female,18 to 21,Associate professional and technical occupations,Business and public service associate professionals,7.72
2011,Female,22 to 29,Associate professional and technical occupations,Business and public service associate professionals,12.96
2011,Female,30 to 39,Associate professional and technical occupations,Business and public service associate professionals,16.98
2011,Female,30 to 49,Associate professional and technical occupations,Business and public service associate professionals,17.04
2011,Female,50 to 59,Associate professional and technical occupations,Business and public service associate professionals,15.74
2011,Female,60 and over,Associate professional and technical occupations,Business and public service associate professionals,14.62
2011,Female,18 to 21,Administrative and secretarial occupations,Administrative and secretarial occupations,7.8
2011,Female,22 to 29,Administrative and secretarial occupations,,9.92
2011,Female,30 to 39,Administrative and secretarial occupations,,11.39
2011,Female,30 to 49,Administrative and secretarial occupations,,11.38
2011,Female,50 to 59,Administrative and secretarial occupations,,11.02
2011,Female,60 and over,Administrative and secretarial occupations,,10.67
2011,Female,18 to 21,Administrative and secretarial occupations,Administrative occupations,8.01
2011,Female,22 to 29,Administrative and secretarial occupations,Administrative occupations,10.01
2011,Female,30 to 39,Administrative and secretarial occupations,Administrative occupations,11.5
2011,Female,30 to 49,Administrative and secretarial occupations,Administrative occupations,11.5
2011,Female,50 to 59,Administrative and secretarial occupations,Administrative occupations,11.15
2011,Female,60 and over,Administrative and secretarial occupations,Administrative occupations,10.61
2011,Female,18 to 21,Administrative and secretarial occupations,Secretarial and related occupations,7.12
2011,Female,22 to 29,Administrative and secretarial occupations,Secretarial and related occupations,9.47
2011,Female,30 to 39,Administrative and secretarial occupations,Secretarial and related occupations,10.96
2011,Female,30 to 49,Administrative and secretarial occupations,Secretarial and related occupations,10.97
2011,Female,50 to 59,Administrative and secretarial occupations,Secretarial and related occupations,10.64
2011,Female,60 and over,Administrative and secretarial occupations,Secretarial and related occupations,10.77
2011,Female,18 to 21,Skilled trades occupations,,7.19
2011,Female,22 to 29,Skilled trades occupations,,9.03
2011,Female,30 to 39,Skilled trades occupations,,10.15
2011,Female,30 to 49,Skilled trades occupations,,9.26
2011,Female,50 to 59,Skilled trades occupations,,8.86
2011,Female,60 and over,Skilled trades occupations,,8.38
2011,Female,22 to 29,Skilled trades occupations,Skilled agricultural and related trades,9.32
2011,Female,30 to 39,Skilled trades occupations,Skilled agricultural and related trades,8.71
2011,Female,30 to 49,Skilled trades occupations,Skilled agricultural and related trades,9.7
2011,Female,50 to 59,Skilled trades occupations,Skilled agricultural and related trades,9.42
2011,Female,60 and over,Skilled trades occupations,Skilled agricultural and related trades,9.08
2011,Female,18 to 21,Skilled trades occupations,"Skilled metal, electrical and electronic trades",6.38
2011,Female,22 to 29,Skilled trades occupations,"Skilled metal, electrical and electronic trades",10.82
2011,Female,30 to 39,Skilled trades occupations,"Skilled metal, electrical and electronic trades",14.89
2011,Female,30 to 49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",12.91
2011,Female,50 to 59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",9.66
2011,Female,60 and over,Skilled trades occupations,"Skilled metal, electrical and electronic trades",10.89
2011,Female,18 to 21,Skilled trades occupations,Skilled construction and building trades,8.39
2011,Female,22 to 29,Skilled trades occupations,Skilled construction and building trades,12.6
2011,Female,30 to 39,Skilled trades occupations,Skilled construction and building trades,10.35
2011,Female,30 to 49,Skilled trades occupations,Skilled construction and building trades,13.57
2011,Female,50 to 59,Skilled trades occupations,Skilled construction and building trades,7.86
2011,Female,18 to 21,Skilled trades occupations,"Textiles, printing and other skilled trades",7.14
2011,Female,22 to 29,Skilled trades occupations,"Textiles, printing and other skilled trades",7.95
2011,Female,30 to 39,Skilled trades occupations,"Textiles, printing and other skilled trades",8.65
2011,Female,30 to 49,Skilled trades occupations,"Textiles, printing and other skilled trades",8.44
2011,Female,50 to 59,Skilled trades occupations,"Textiles, printing and other skilled trades",8.75
2011,Female,60 and over,Skilled trades occupations,"Textiles, printing and other skilled trades",8.07
2011,Female,18 to 21,"Caring, leisure and other service occupations",,6.88
2011,Female,22 to 29,"Caring, leisure and other service occupations",,8.31
2011,Female,30 to 39,"Caring, leisure and other service occupations",,9.27
2011,Female,30 to 49,"Caring, leisure and other service occupations",,9.33
2011,Female,50 to 59,"Caring, leisure and other service occupations",,9.54
2011,Female,60 and over,"Caring, leisure and other service occupations",,9.05
2011,Female,18 to 21,"Caring, leisure and other service occupations",Caring personal service occupations,6.95
2011,Female,22 to 29,"Caring, leisure and other service occupations",Caring personal service occupations,8.3
2011,Female,30 to 39,"Caring, leisure and other service occupations",Caring personal service occupations,9.08
2011,Female,30 to 49,"Caring, leisure and other service occupations",Caring personal service occupations,9.16
2011,Female,50 to 59,"Caring, leisure and other service occupations",Caring personal service occupations,9.53
2011,Female,60 and over,"Caring, leisure and other service occupations",Caring personal service occupations,9.17
2011,Female,18 to 21,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",6.64
2011,Female,22 to 29,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.36
2011,Female,30 to 39,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.46
2011,Female,30 to 49,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.85
2011,Female,50 to 59,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",9.56
2011,Female,60 and over,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.26
2011,Female,18 to 21,Sales and customer service occupations,,6.7
2011,Female,22 to 29,Sales and customer service occupations,,8.08
2011,Female,30 to 39,Sales and customer service occupations,,9.22
2011,Female,30 to 49,Sales and customer service occupations,,8.68
2011,Female,50 to 59,Sales and customer service occupations,,8.11
2011,Female,60 and over,Sales and customer service occupations,,7.42
2011,Female,18 to 21,Sales and customer service occupations,Sales occupations,6.55
2011,Female,22 to 29,Sales and customer service occupations,Sales occupations,7.65
2011,Female,30 to 39,Sales and customer service occupations,Sales occupations,8.25
2011,Female,30 to 49,Sales and customer service occupations,Sales occupations,7.8
2011,Female,50 to 59,Sales and customer service occupations,Sales occupations,7.45
2011,Female,60 and over,Sales and customer service occupations,Sales occupations,7.08
2011,Female,18 to 21,Sales and customer service occupations,Customer service occupations,7.31
2011,Female,22 to 29,Sales and customer service occupations,Customer service occupations,8.97
2011,Female,30 to 39,Sales and customer service occupations,Customer service occupations,10.97
2011,Female,30 to 49,Sales and customer service occupations,Customer service occupations,10.65
2011,Female,50 to 59,Sales and customer service occupations,Customer service occupations,9.94
2011,Female,60 and over,Sales and customer service occupations,Customer service occupations,8.94
2011,Female,18 to 21,"Process, plant and machine operatives",,6.49
2011,Female,22 to 29,"Process, plant and machine operatives",,8.04
2011,Female,30 to 39,"Process, plant and machine operatives",,9.16
2011,Female,30 to 49,"Process, plant and machine operatives",,8.54
2011,Female,50 to 59,"Process, plant and machine operatives",,8.88
2011,Female,60 and over,"Process, plant and machine operatives",,8.07
2011,Female,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",6.53
2011,Female,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",7.79
2011,Female,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",8.86
2011,Female,30 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",8.27
2011,Female,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",8.59
2011,Female,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",8.24
2011,Female,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,6.07
2011,Female,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.55
2011,Female,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.5
2011,Female,30 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.67
2011,Female,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.55
2011,Female,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.13
2011,Female,18 to 21,Elementary occupations,,6.21
2011,Female,22 to 29,Elementary occupations,,7.12
2011,Female,30 to 39,Elementary occupations,,7.58
2011,Female,30 to 49,Elementary occupations,,7.61
2011,Female,50 to 59,Elementary occupations,,7.54
2011,Female,60 and over,Elementary occupations,,7.38
2011,Female,18 to 21,Elementary occupations,Elementary trades and related occupations,6.45
2011,Female,22 to 29,Elementary occupations,Elementary trades and related occupations,7.13
2011,Female,30 to 39,Elementary occupations,Elementary trades and related occupations,7.96
2011,Female,30 to 49,Elementary occupations,Elementary trades and related occupations,8.02
2011,Female,50 to 59,Elementary occupations,Elementary trades and related occupations,7.75
2011,Female,60 and over,Elementary occupations,Elementary trades and related occupations,7.72
2011,Female,18 to 21,Elementary occupations,Elementary administration and service occupations,6.19
2011,Female,22 to 29,Elementary occupations,Elementary administration and service occupations,7.11
2011,Female,30 to 39,Elementary occupations,Elementary administration and service occupations,7.53
2011,Female,30 to 49,Elementary occupations,Elementary administration and service occupations,7.56
2011,Female,50 to 59,Elementary occupations,Elementary administration and service occupations,7.52
2011,Female,60 and over,Elementary occupations,Elementary administration and service occupations,7.35
2012,,,,,14.84
2012,,18 to 21,,,7.47
2012,,22 to 29,,,11.38
2012,,30 to 39,,,15.79
2012,,30 to 49,,,16.66
2012,,50 to 59,,,16.13
2012,,60 and over,,,14.16
2012,,18 to 21,"Managers, directors and senior officials",,8.51
2012,,22 to 29,"Managers, directors and senior officials",,13.68
2012,,30 to 39,"Managers, directors and senior officials",,22.66
2012,,30 to 49,"Managers, directors and senior officials",,26.03
2012,,50 to 59,"Managers, directors and senior officials",,27.31
2012,,60 and over,"Managers, directors and senior officials",,22.92
2012,,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,8.57
2012,,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,14.73
2012,,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,24.26
2012,,30 to 49,"Managers, directors and senior officials",Corporate managers and directors,27.39
2012,,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,28.96
2012,,60 and over,"Managers, directors and senior officials",Corporate managers and directors,24.3
2012,,18 to 21,"Managers, directors and senior officials",Other managers and proprietors,8.37
2012,,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,10.51
2012,,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,15.03
2012,,30 to 49,"Managers, directors and senior officials",Other managers and proprietors,18.33
2012,,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,19.08
2012,,60 and over,"Managers, directors and senior officials",Other managers and proprietors,17.58
2012,,18 to 21,Professional occupations,,10.8
2012,,22 to 29,Professional occupations,,15.95
2012,,30 to 39,Professional occupations,,20.93
2012,,30 to 49,Professional occupations,,22.9
2012,,50 to 59,Professional occupations,,22.95
2012,,60 and over,Professional occupations,,22.83
2012,,18 to 21,Professional occupations,"Science, research, engineering and technology professionals",9.5
2012,,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",15.39
2012,,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",20.52
2012,,30 to 49,Professional occupations,"Science, research, engineering and technology professionals",22.95
2012,,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",22.66
2012,,60 and over,Professional occupations,"Science, research, engineering and technology professionals",22.06
2012,,18 to 21,Professional occupations,Health professionals,10.98
2012,,22 to 29,Professional occupations,Health professionals,15.52
2012,,30 to 39,Professional occupations,Health professionals,20.26
2012,,30 to 49,Professional occupations,Health professionals,22.36
2012,,50 to 59,Professional occupations,Health professionals,22.66
2012,,60 and over,Professional occupations,Health professionals,23.26
2012,,18 to 21,Professional occupations,Teaching and educational professionals,12.9
2012,,22 to 29,Professional occupations,Teaching and educational professionals,16.54
2012,,30 to 39,Professional occupations,Teaching and educational professionals,21.59
2012,,30 to 49,Professional occupations,Teaching and educational professionals,23.29
2012,,50 to 59,Professional occupations,Teaching and educational professionals,24.6
2012,,60 and over,Professional occupations,Teaching and educational professionals,25.72
2012,,18 to 21,Professional occupations,"Business, media and public service professionals",12.37
2012,,22 to 29,Professional occupations,"Business, media and public service professionals",16.36
2012,,30 to 39,Professional occupations,"Business, media and public service professionals",21.38
2012,,30 to 49,Professional occupations,"Business, media and public service professionals",23.09
2012,,50 to 59,Professional occupations,"Business, media and public service professionals",21.62
2012,,60 and over,Professional occupations,"Business, media and public service professionals",20.07
2012,,18 to 21,Associate professional and technical occupations,,10.53
2012,,22 to 29,Associate professional and technical occupations,,13.6
2012,,30 to 39,Associate professional and technical occupations,,17.36
2012,,30 to 49,Associate professional and technical occupations,,18.71
2012,,50 to 59,Associate professional and technical occupations,,17.44
2012,,60 and over,Associate professional and technical occupations,,16.41
2012,,18 to 21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",8.77
2012,,22 to 29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",11.73
2012,,30 to 39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",15.05
2012,,30 to 49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",15.62
2012,,50 to 59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",15.26
2012,,60 and over,Associate professional and technical occupations,"Science, engineering and technology associate professionals",14.52
2012,,18 to 21,Associate professional and technical occupations,Health and social care associate professionals,9.51
2012,,22 to 29,Associate professional and technical occupations,Health and social care associate professionals,11.59
2012,,30 to 39,Associate professional and technical occupations,Health and social care associate professionals,13.56
2012,,30 to 49,Associate professional and technical occupations,Health and social care associate professionals,13.94
2012,,50 to 59,Associate professional and technical occupations,Health and social care associate professionals,13.44
2012,,60 and over,Associate professional and technical occupations,Health and social care associate professionals,12.51
2012,,18 to 21,Associate professional and technical occupations,Protective service occupations,11.63
2012,,22 to 29,Associate professional and technical occupations,Protective service occupations,14.65
2012,,30 to 39,Associate professional and technical occupations,Protective service occupations,16.9
2012,,30 to 49,Associate professional and technical occupations,Protective service occupations,18.25
2012,,50 to 59,Associate professional and technical occupations,Protective service occupations,17.67
2012,,60 and over,Associate professional and technical occupations,Protective service occupations,13.84
2012,,22 to 29,Associate professional and technical occupations,"Culture, media and sports occupations",15.81
2012,,30 to 39,Associate professional and technical occupations,"Culture, media and sports occupations",15.53
2012,,30 to 49,Associate professional and technical occupations,"Culture, media and sports occupations",17.23
2012,,50 to 59,Associate professional and technical occupations,"Culture, media and sports occupations",18.53
2012,,60 and over,Associate professional and technical occupations,"Culture, media and sports occupations",14.38
2012,,18 to 21,Associate professional and technical occupations,Business and public service associate professionals,9.48
2012,,22 to 29,Associate professional and technical occupations,Business and public service associate professionals,13.99
2012,,30 to 39,Associate professional and technical occupations,Business and public service associate professionals,18.94
2012,,30 to 49,Associate professional and technical occupations,Business and public service associate professionals,20.81
2012,,50 to 59,Associate professional and technical occupations,Business and public service associate professionals,19.14
2012,,60 and over,Associate professional and technical occupations,Business and public service associate professionals,18.29
2012,,18 to 21,Administrative and secretarial occupations,Administrative and secretarial occupations,7.84
2012,,22 to 29,Administrative and secretarial occupations,,10.14
2012,,30 to 39,Administrative and secretarial occupations,,11.98
2012,,30 to 49,Administrative and secretarial occupations,,12.09
2012,,50 to 59,Administrative and secretarial occupations,,11.86
2012,,60 and over,Administrative and secretarial occupations,,11.36
2012,,18 to 21,Administrative and secretarial occupations,Administrative occupations,7.95
2012,,22 to 29,Administrative and secretarial occupations,Administrative occupations,10.27
2012,,30 to 39,Administrative and secretarial occupations,Administrative occupations,12.13
2012,,30 to 49,Administrative and secretarial occupations,Administrative occupations,12.3
2012,,50 to 59,Administrative and secretarial occupations,Administrative occupations,12.13
2012,,60 and over,Administrative and secretarial occupations,Administrative occupations,11.37
2012,,18 to 21,Administrative and secretarial occupations,Secretarial and related occupations,7.31
2012,,22 to 29,Administrative and secretarial occupations,Secretarial and related occupations,9.41
2012,,30 to 39,Administrative and secretarial occupations,Secretarial and related occupations,11.2
2012,,30 to 49,Administrative and secretarial occupations,Secretarial and related occupations,11.22
2012,,50 to 59,Administrative and secretarial occupations,Secretarial and related occupations,10.96
2012,,60 and over,Administrative and secretarial occupations,Secretarial and related occupations,11.33
2012,,18 to 21,Skilled trades occupations,,8.16
2012,,22 to 29,Skilled trades occupations,,10.4
2012,,30 to 39,Skilled trades occupations,,12.04
2012,,30 to 49,Skilled trades occupations,,12.92
2012,,50 to 59,Skilled trades occupations,,12.92
2012,,60 and over,Skilled trades occupations,,12.18
2012,,18 to 21,Skilled trades occupations,Skilled agricultural and related trades,6.92
2012,,22 to 29,Skilled trades occupations,Skilled agricultural and related trades,8.48
2012,,30 to 39,Skilled trades occupations,Skilled agricultural and related trades,9.52
2012,,30 to 49,Skilled trades occupations,Skilled agricultural and related trades,10.04
2012,,50 to 59,Skilled trades occupations,Skilled agricultural and related trades,9.76
2012,,60 and over,Skilled trades occupations,Skilled agricultural and related trades,8.84
2012,,18 to 21,Skilled trades occupations,"Skilled metal, electrical and electronic trades",9.02
2012,,22 to 29,Skilled trades occupations,"Skilled metal, electrical and electronic trades",11.58
2012,,30 to 39,Skilled trades occupations,"Skilled metal, electrical and electronic trades",13.4
2012,,30 to 49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",14.2
2012,,50 to 59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",14.14
2012,,60 and over,Skilled trades occupations,"Skilled metal, electrical and electronic trades",13.28
2012,,18 to 21,Skilled trades occupations,Skilled construction and building trades,8.03
2012,,22 to 29,Skilled trades occupations,Skilled construction and building trades,10.95
2012,,30 to 39,Skilled trades occupations,Skilled construction and building trades,12.22
2012,,30 to 49,Skilled trades occupations,Skilled construction and building trades,13.04
2012,,50 to 59,Skilled trades occupations,Skilled construction and building trades,12.92
2012,,60 and over,Skilled trades occupations,Skilled construction and building trades,12.41
2012,,18 to 21,Skilled trades occupations,"Textiles, printing and other skilled trades",7.16
2012,,22 to 29,Skilled trades occupations,"Textiles, printing and other skilled trades",8.32
2012,,30 to 39,Skilled trades occupations,"Textiles, printing and other skilled trades",9.6
2012,,30 to 49,Skilled trades occupations,"Textiles, printing and other skilled trades",10.2
2012,,50 to 59,Skilled trades occupations,"Textiles, printing and other skilled trades",10.02
2012,,60 and over,Skilled trades occupations,"Textiles, printing and other skilled trades",9.57
2012,,18 to 21,"Caring, leisure and other service occupations",,7.12
2012,,22 to 29,"Caring, leisure and other service occupations",,8.34
2012,,30 to 39,"Caring, leisure and other service occupations",,9.43
2012,,30 to 49,"Caring, leisure and other service occupations",,9.65
2012,,50 to 59,"Caring, leisure and other service occupations",,9.72
2012,,60 and over,"Caring, leisure and other service occupations",,9.41
2012,,18 to 21,"Caring, leisure and other service occupations",Caring personal service occupations,7.14
2012,,22 to 29,"Caring, leisure and other service occupations",Caring personal service occupations,8.33
2012,,30 to 39,"Caring, leisure and other service occupations",Caring personal service occupations,9.18
2012,,30 to 49,"Caring, leisure and other service occupations",Caring personal service occupations,9.33
2012,,50 to 59,"Caring, leisure and other service occupations",Caring personal service occupations,9.55
2012,,60 and over,"Caring, leisure and other service occupations",Caring personal service occupations,9.37
