Year,Units,Government,Area of spending category,Area of spending sub-category,Value
2001,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,33.44442001
2001,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,48.22966183
2001,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.016916753
2001,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.016916753
2001,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.625919848
2001,GBP(£) per capita,Local governemnt,Environmental protection,,78.07081353
2001,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,78.07081353
2001,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2001,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2001,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2001,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2001,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2001,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,77.2588094
2001,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,44.67714378
2001,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,38.68861333
2001,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2001,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2001,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2001,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-6.10694771
2002,GBP(£) per capita,,Environmental protection,,136.0718395
2002,GBP(£) per capita,,Environmental protection,Waste management,99.97355375
2002,GBP(£) per capita,,Environmental protection,Waste water management,0.235826412
2002,GBP(£) per capita,,Environmental protection,Pollution abatement,4.312254383
2002,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,6.384157855
2002,GBP(£) per capita,,Environmental protection,Research and development environmental protection,6.182020931
2002,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,18.98402613
2002,GBP(£) per capita,,"Recreation, culture and religion",,181.5694921
2002,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,57.47426544
2002,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,74.90857515
2002,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,54.49274581
2002,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.168447437
2002,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",0.033689487
2002,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-5.508231184
2002,GBP(£) per capita,Central government,Environmental protection,,52.11763695
2002,GBP(£) per capita,Central government,Environmental protection,Waste management,16.01935124
2002,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.235826412
2002,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,4.312254383
2002,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,6.384157855
2002,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,6.182020931
2002,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,18.98402613
2002,GBP(£) per capita,Central government,"Recreation, culture and religion",,100.748412
2002,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,10.81432544
2002,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,34.38012185
2002,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,54.49274581
2002,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.168447437
2002,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.033689487
2002,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.859081928
2002,GBP(£) per capita,Local governemnt,Environmental protection,,83.95420251
2002,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,83.95420251
2002,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2002,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2002,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2002,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2002,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2002,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,80.82108019
2002,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,46.65994
2002,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,40.5284533
2002,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2002,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2002,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2002,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-6.367313112
2003,GBP(£) per capita,,Environmental protection,,151.936643
2003,GBP(£) per capita,,Environmental protection,Waste management,109.2448107
2003,GBP(£) per capita,,Environmental protection,Waste water management,0.26829117
2003,GBP(£) per capita,,Environmental protection,Pollution abatement,3.554857999
2003,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,6.438988073
2003,GBP(£) per capita,,Environmental protection,Research and development environmental protection,6.656974648
2003,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,25.77272049
2003,GBP(£) per capita,,"Recreation, culture and religion",,199.1894253
2003,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,61.63989624
2003,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,84.61232764
2003,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,58.23595202
2003,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.167681981
2003,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",0.083840991
2003,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-5.550273573
2003,GBP(£) per capita,Central government,Environmental protection,,59.14143472
2003,GBP(£) per capita,Central government,Environmental protection,Waste management,16.44960234
2003,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.26829117
2003,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,3.554857999
2003,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,6.438988073
2003,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,6.656974648
2003,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,25.77272049
2003,GBP(£) per capita,Central government,"Recreation, culture and religion",,112.3133909
2003,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,10.88256057
2003,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,41.78634968
2003,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,58.23595202
2003,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.167681981
2003,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.083840991
2003,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",1.157005669
2003,GBP(£) per capita,Local governemnt,Environmental protection,,92.79520832
2003,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,92.79520832
2003,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2003,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2003,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2003,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2003,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2003,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,86.87603439
2003,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,50.75733567
2003,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,42.82597796
2003,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2003,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2003,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2003,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-6.707279242
2004,GBP(£) per capita,,Environmental protection,,156.3625931
2004,GBP(£) per capita,,Environmental protection,Waste management,119.4987857
2004,GBP(£) per capita,,Environmental protection,Waste water management,0.450372308
2004,GBP(£) per capita,,Environmental protection,Pollution abatement,3.669700286
2004,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,6.188449118
2004,GBP(£) per capita,,Environmental protection,Research and development environmental protection,7.639648776
2004,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,18.91563693
2004,GBP(£) per capita,,"Recreation, culture and religion",,195.1946943
2004,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,62.25146121
2004,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,82.63497825
2004,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,56.11305346
2004,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.166804558
2004,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",0.033360912
2004,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-6.004964104
2004,GBP(£) per capita,Central government,Environmental protection,,54.86201927
2004,GBP(£) per capita,Central government,Environmental protection,Waste management,17.99821186
2004,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.450372308
2004,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,3.669700286
2004,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,6.188449118
2004,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,7.639648776
2004,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,18.91563693
2004,GBP(£) per capita,Central government,"Recreation, culture and religion",,106.0543383
2004,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,9.157570258
2004,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,39.3992367
2004,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,56.11305346
2004,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.166804558
2004,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.033360912
2004,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",1.184312365
2004,GBP(£) per capita,Local governemnt,Environmental protection,,101.5005738
2004,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,101.5005738
2004,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2004,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2004,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2004,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2004,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2004,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,89.14035603
2004,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,53.09389095
2004,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,43.23574155
2004,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2004,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2004,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2004,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-7.189276469
2005,GBP(£) per capita,,Environmental protection,,145.9777897
2005,GBP(£) per capita,,Environmental protection,Waste management,97.01506125
2005,GBP(£) per capita,,Environmental protection,Waste water management,0.943500852
2005,GBP(£) per capita,,Environmental protection,Pollution abatement,4.585083086
2005,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,7.51490152
2005,GBP(£) per capita,,Environmental protection,Research and development environmental protection,8.690139423
2005,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,27.22910353
2005,GBP(£) per capita,,"Recreation, culture and religion",,211.5924805
2005,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,66.59129695
2005,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,89.89742325
2005,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,59.17571131
2005,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.198631758
2005,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",1.075922024
2005,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-5.346504826
2005,GBP(£) per capita,Central government,Environmental protection,,32.32731865
2005,GBP(£) per capita,Central government,Environmental protection,Waste management,-16.63540975
2005,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.943500852
2005,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,4.585083086
2005,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,7.51490152
2005,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,8.690139423
2005,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,27.22910353
2005,GBP(£) per capita,Central government,"Recreation, culture and religion",,115.4547095
2005,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,9.7495088
2005,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,43.15274948
2005,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,59.17571131
2005,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.198631758
2005,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",1.075922024
2005,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",2.102186108
2005,GBP(£) per capita,Local governemnt,Environmental protection,,113.650471
2005,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,113.650471
2005,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2005,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2005,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2005,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2005,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2005,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,96.13777099
2005,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,56.84178815
2005,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,46.74467377
2005,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2005,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2005,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2005,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-7.448690934
2006,GBP(£) per capita,,Environmental protection,,211.9121247
2006,GBP(£) per capita,,Environmental protection,Waste management,165.4525697
2006,GBP(£) per capita,,Environmental protection,Waste water management,0.772681913
2006,GBP(£) per capita,,Environmental protection,Pollution abatement,3.222247978
2006,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,7.907659579
2006,GBP(£) per capita,,Environmental protection,Research and development environmental protection,8.877621981
2006,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,25.67934358
2006,GBP(£) per capita,,"Recreation, culture and religion",,218.8662619
2006,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,72.76362016
2006,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,89.95990274
2006,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,59.85818821
2006,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.246600611
2006,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",1.808404478
2006,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-5.770454288
2006,GBP(£) per capita,Central government,Environmental protection,,93.33011109
2006,GBP(£) per capita,Central government,Environmental protection,Waste management,46.87055605
2006,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.772681913
2006,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,3.222247978
2006,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,7.907659579
2006,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,8.877621981
2006,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,25.67934358
2006,GBP(£) per capita,Central government,"Recreation, culture and religion",,118.4504933
2006,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,12.92187199
2006,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,41.60974303
2006,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,59.85818821
2006,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.246600611
2006,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",1.808404478
2006,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",2.005684966
2006,GBP(£) per capita,Local governemnt,Environmental protection,,118.5820136
2006,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,118.5820136
2006,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2006,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2006,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2006,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2006,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2006,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,100.4157686
2006,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,59.84174817
2006,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,48.35015971
2006,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2006,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2006,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2006,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-7.776139254
2007,GBP(£) per capita,,Environmental protection,,234.1195484
2007,GBP(£) per capita,,Environmental protection,Waste management,179.3894561
2007,GBP(£) per capita,,Environmental protection,Waste water management,0.195697589
2007,GBP(£) per capita,,Environmental protection,Pollution abatement,3.114853284
2007,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,11.12214628
2007,GBP(£) per capita,,Environmental protection,Research and development environmental protection,10.46982099
2007,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,29.82757412
2007,GBP(£) per capita,,"Recreation, culture and religion",,226.4058018
2007,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,80.54586581
2007,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,89.35225729
2007,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,59.80192142
2007,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.228313853
2007,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",2.168981606
2007,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-5.691538199
2007,GBP(£) per capita,Central government,Environmental protection,,111.3030035
2007,GBP(£) per capita,Central government,Environmental protection,Waste management,56.57291121
2007,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.195697589
2007,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,3.114853284
2007,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,11.12214628
2007,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,10.46982099
2007,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,29.82757412
2007,GBP(£) per capita,Central government,"Recreation, culture and religion",,123.6808759
2007,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,19.56975885
2007,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,40.03646498
2007,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,59.80192142
2007,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.228313853
2007,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",2.168981606
2007,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",1.875435223
2007,GBP(£) per capita,Local governemnt,Environmental protection,,122.8165449
2007,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,122.8165449
2007,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2007,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2007,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2007,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2007,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2007,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,102.7249258
2007,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,60.97610696
2007,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,49.31579231
2007,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2007,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2007,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2007,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-7.566973423
2008,GBP(£) per capita,,Environmental protection,,224.3149079
2008,GBP(£) per capita,,Environmental protection,Waste management,175.4017061
2008,GBP(£) per capita,,Environmental protection,Waste water management,0.258800009
2008,GBP(£) per capita,,Environmental protection,Pollution abatement,3.364400118
2008,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,8.960950314
2008,GBP(£) per capita,,Environmental protection,Research and development environmental protection,8.152200285
2008,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,28.17685099
2008,GBP(£) per capita,,"Recreation, culture and religion",,244.5336586
2008,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,93.55620327
2008,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,92.13280322
2008,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,61.83702716
2008,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.242625008
2008,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",2.490950087
2008,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-5.7259502
2008,GBP(£) per capita,Central government,Environmental protection,,96.58092838
2008,GBP(£) per capita,Central government,Environmental protection,Waste management,47.66772667
2008,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.258800009
2008,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,3.364400118
2008,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,8.960950314
2008,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,8.152200285
2008,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,28.17685099
2008,GBP(£) per capita,Central government,"Recreation, culture and religion",,140.4960549
2008,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,31.81622611
2008,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,42.34615148
2008,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,61.83702716
2008,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.242625008
2008,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",2.490950087
2008,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",1.763075062
2008,GBP(£) per capita,Local governemnt,Environmental protection,,127.7339795
2008,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,127.7339795
2008,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2008,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2008,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2008,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2008,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2008,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,104.0376036
2008,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,61.73997716
2008,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,49.78665174
2008,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2008,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2008,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2008,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-7.489025262
2009,GBP(£) per capita,,Environmental protection,,247.7654372
2009,GBP(£) per capita,,Environmental protection,Waste management,189.8956802
2009,GBP(£) per capita,,Environmental protection,Waste water management,0.417600244
2009,GBP(£) per capita,,Environmental protection,Pollution abatement,4.593602685
2009,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,8.271697143
2009,GBP(£) per capita,,Environmental protection,Research and development environmental protection,8.753543579
2009,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,35.83331326
2009,GBP(£) per capita,,"Recreation, culture and religion",,247.3478369
2009,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,97.58996474
2009,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,89.54312927
2009,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,63.63585259
2009,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.256984766
2009,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",2.232555151
2009,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-5.910649609
2009,GBP(£) per capita,Central government,Environmental protection,,117.5705303
2009,GBP(£) per capita,Central government,Environmental protection,Waste management,59.70077336
2009,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.417600244
2009,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,4.593602685
2009,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,8.271697143
2009,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,8.753543579
2009,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,35.83331326
2009,GBP(£) per capita,Central government,"Recreation, culture and religion",,140.6670361
2009,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,34.21109692
2009,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,38.48346865
2009,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,63.63585259
2009,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.256984766
2009,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",2.232555151
2009,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",1.847078003
2009,GBP(£) per capita,Local governemnt,Environmental protection,,130.1949069
